gamma_opt,E_source_J,E_gradient_J,E_no_cancel_J,budget_ratio,meets_budget,compactness_proxy,Qt,Z1,Z2,Z3,c1_sq,c2_sq,c3_sq,x1,x2,x3,EOM_residual,bare_cutoff_eV,effective_soft_cutoff_eV,E_bulk_signed_J,signed_over_gradient,case,C_source,acceleration_m_s2,h_m,budget_J,region_ratio,safety,selection_role
11897655.839558003,1.109928379036019e+21,2.2198568762938045e+20,1.3319140666653996e+21,1331914066.6653996,False,6.54682105145655e-17,8923241.379668564,8923241.879668523,8923241.879668523,8.405017034323208e-08,1.0000000560334454,1.0000000560334454,9.419242040760973e-15,-0.1249999894937287,-0.1249999894937287,2230810.34491712,0.0,0.13612790688671342,3.946539608e-05,-1.980831651562949e+27,-8923240.379668424,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,0.5,100.0,PHYSICAL
1335466659.5026896,9.888338107404804e+18,1.9776674589046653e+18,1.186600556630947e+19,11866005.56630947,False,3.273410627662926e-17,1001599994.1270173,1001599994.6270173,1001599994.6270173,7.488019209497802e-10,1.0000000004992013,1.0000000004992013,7.476057561306468e-19,-0.12499999990639976,-0.12499999990639976,250399998.5317543,0.0,0.0072111245247953905,1.973269804e-07,-1.9808317132464387e+27,-1001599993.1270174,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,1.0,1.0,PHYSICAL
133546672.75714521,9.888337603396038e+19,1.977667945142889e+19,1.1866005548538928e+20,118660055.48538928,False,3.273411555203781e-17,100160004.06785889,100160004.56785887,100160004.56785887,7.488018827833332e-09,1.0000000049920124,1.0000000049920124,7.476056832785433e-17,-0.12499999906399764,-0.12499999906399764,25040001.01696472,3.725290298461914e-09,0.022803578570602192,1.973269804e-06,-1.980832274527179e+27,-100160003.06785887,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,1.0,10.0,PHYSICAL
13354667.038698131,9.888337778892594e+20,1.9776675919405466e+20,1.1866005370833142e+21,1186600537.0833142,False,3.2734104712871164e-17,10015999.779023655,10016000.279023618,10016000.279023618,7.488018960729433e-08,1.0000000499201251,1.0000000499201251,7.476057434038157e-15,-0.1249999906399763,-0.1249999906399763,2503999.944755895,0.0,0.07211124644580055,1.9732698040000002e-05,-1.9808316186190917e+27,-10015998.779023528,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,1.0,100.0,PHYSICAL
749505325.935732,1.7619015373696465e+19,3.523802920495507e+18,2.1142818294191972e+19,21142818.29419197,False,1.6367053748204903e-17,562128993.951799,562128994.451799,562128994.451799,1.334213334310245e-09,1.0000000008894756,1.0000000008894756,2.3735002973795194e-18,-0.12499999983322334,-0.12499999983322334,140532248.48794976,0.0,0.005402239471523882,1.973269804e-07,-1.980831787058748e+27,-562128992.9517992,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,2.0,1.0,PHYSICAL
74950542.05577968,1.7619013149366167e+20,3.5238050884084638e+19,2.114281823777463e+20,211428182.3777463,False,1.6367065490746597e-17,56212906.04183478,56212906.54183477,56212906.54183477,1.3342131658711422e-08,1.0000000088947545,1.0000000088947545,2.3734997170902244e-16,-0.12499999833223355,-0.12499999833223355,14053226.510458691,0.0,0.017083382274034217,1.973269804e-06,-1.9808332082063907e+27,-56212905.04183475,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,2.0,10.0,PHYSICAL
7495052.956013139,1.761901608678359e+21,3.523801586809994e+20,2.1142817673593584e+21,2114281767.3593585,False,1.6367042567448816e-17,5621289.217009954,5621289.717009888,5621289.717009888,1.33421338830931e-07,1.0000000889475553,1.0000000889475553,2.373500698508798e-14,-0.12499998332233264,-0.12499998332233264,1405322.3042524552,0.0,0.054022393622025815,1.973269804e-05,-1.9808304339015214e+27,-5621288.217009732,IDEAL_MACRO,1.0,9.80665,1.0,1000000000000.0,2.0,100.0,PHYSICAL
2014903489.4026487,1.5461771565297356e+20,3.0923543789358264e+19,1.855412594423318e+20,185541259.44233182,False,1.54449914695739e-15,1511177616.5519865,1511177617.0519865,1511177617.0519865,4.963016865370889e-10,1.0000000003308678,1.0000000003308678,3.2842048552140894e-19,-0.12499999993796229,-0.12499999993796229,377794404.1379966,0.0,0.017715099268352123,3.946539608e-07,-4.673096716801986e+28,-1511177615.5519862,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,0.5,1.0,PHYSICAL
201490340.35122487,1.5461772224394832e+21,3.0923537014215397e+20,1.8554125925816373e+21,1855412592.5816374,False,1.5444987289320214e-15,151117754.76341864,151117755.26341864,151117755.26341864,4.9630170769321496e-09,1.000000003308678,1.000000003308678,3.2842051449890625e-17,-0.12499999937962286,-0.12499999937962286,37779438.69085466,0.0,0.056020061469976096,3.946539608e-06,-4.673095452008164e+28,-151117753.76341864,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,0.5,10.0,PHYSICAL
20149033.592084415,1.546177256436914e+22,3.0923531772785035e+21,1.8554125741647643e+22,18554125741.647644,False,1.5444982952077144e-15,15111774.69406335,15111775.194063324,15111775.194063324,4.963017186059245e-08,1.0000000330867806,1.0000000330867806,3.2842053872130335e-15,-0.12499999379622852,-0.12499999379622852,3777943.673515825,0.0,0.1771509869601619,3.946539608e-05,-4.673094139715026e+28,-15111773.694063269,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,0.5,100.0,PHYSICAL
2261652433.4102015,1.3774874078369859e+20,2.7549729417613275e+19,1.6529847020131185e+20,165298470.20131186,False,7.72249031832911e-16,1696239324.557651,1696239325.057651,1696239325.057651,4.4215458804700765e-10,1.0000000002947698,1.0000000002947698,2.6066757305152896e-19,-0.12499999994473068,-0.12499999994473068,424059831.13941276,0.0,0.009384246395224852,1.9732698040000002e-07,-4.673093439152866e+28,-1696239323.5576508,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,1.0,1.0,PHYSICAL
226165257.4414885,1.3774873219563436e+21,2.7549737859498384e+20,1.6529847005513274e+21,1652984700.5513275,False,7.722493104685658e-16,169623942.58111638,169623943.08111638,169623943.08111638,4.421545604804979e-09,1.000000002947697,1.000000002947697,2.6066754123997195e-17,-0.1249999994473068,-0.1249999994473068,42405985.645279095,0.0,0.02967559365821047,1.973269804e-06,-4.673095125254624e+28,-169623941.58111638,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,1.0,10.0,PHYSICAL
22616527.31408089,1.377487226337708e+22,2.754974595961149e+21,1.652984685933823e+22,16529846859.338228,False,7.722495296678466e-16,16962394.9855607,16962395.485560678,16962395.485560678,4.421545297882257e-08,1.0000000294769682,1.0000000294769682,2.6066751196668357e-15,-0.12499999447306838,-0.12499999447306838,4240598.746390164,0.0,0.093842470134643,1.973269804e-05,-4.673096451690371e+28,-16962393.985560626,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,1.0,100.0,PHYSICAL
1269309587.2536674,2.4544033852821026e+20,4.908805187497329e+19,2.9452839040318354e+20,294528390.4031835,False,3.8612465376519967e-16,951982189.9402504,951982190.4402504,951982190.4402504,7.87829864393952e-10,1.0000000005252199,1.0000000005252199,8.275678607426457e-19,-0.12499999990152126,-0.12499999990152126,237995547.4850626,0.0,0.007030241602388116,1.973269804e-07,-4.673095107474963e+28,-951982188.9402503,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,2.0,1.0,PHYSICAL
126930949.83860092,2.454403557121265e+21,4.908803422698989e+20,2.9452838993911643e+21,2945283899.3911643,False,3.8612448243768086e-16,95198211.8789507,95198212.37895069,95198212.37895069,7.878299195519693e-09,1.0000000052521993,1.0000000052521993,8.275679805349018e-17,-0.1249999990152126,-0.1249999990152126,23799552.96973767,3.725290298461914e-09,0.02223157518657311,1.973269804e-06,-4.673093033974133e+28,-95198210.8789507,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,2.0,10.0,PHYSICAL
12693096.84117852,2.454403197980465e+22,4.908806550029352e+21,2.9452838529834003e+22,29452838529.834003,False,3.8612473017584374e-16,9519822.130883949,9519822.63088391,9519822.63088391,7.878298042726922e-08,1.0000000525219856,1.0000000525219856,8.275677774659635e-15,-0.12499999015212744,-0.12499999015212744,2379955.5327209677,0.0,0.07030241870635758,1.973269804e-05,-4.673096032239034e+28,-9519821.130883822,006D_MACRO,23.591586299249,9.80665,1.0,1000000000000.0,2.0,100.0,PHYSICAL
