E_over_Qm,I_E_activation,I_Q_activation,V_eft_eV,V_reaction_eV,V_required_eV,V_self_eV,activation_charge,activation_energy_GJ,activation_energy_J,activation_energy_fraction,bound_pass,candidate_pass,eft_pass,f_leak_10m,geometry_pass,m_A_eV,metric_operator_scale_eV,mu_mA_over_mX,omega_activation,payload_f_min,reaction_pass,reaction_ratio,reaction_shape,self_coupling_est,source_A_relerr,source_f_min
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,4.557997195908861e-77,4.349909958627507e-07,4.349909958627507e-07,40103.02871199954,2.517019433730513e-30,2.5170194337305132e-21,2.0707076570004975e-32,True,False,False,0.0,True,1.5420029314523158e-06,172.7210426968652,0.257877035541595,0.2,0.9999999999999991,True,1.0979626650273228e-141,2.4337232522052524e-175,12.566370614359174,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,3.4326953418145344e-76,4.4835496607109346e-07,4.4835496607109346e-07,40103.02871199955,2.594348327997574e-30,2.594348327997574e-21,2.134324779427264e-32,True,True,True,0.0,True,1.589376972370643e-06,175.35417469480805,0.2657996386602145,0.2,0.999999999999016,True,5.861740016746374e-140,1.3803639400787287e-173,12.56637061435917,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.8830338888881574e-75,4.621295096049261e-07,4.621295096049261e-07,40103.028711999556,2.6740529519902124e-30,2.6740529519902125e-21,2.199896372950992e-32,True,True,True,0.0,True,1.6382064578326576e-06,178.02744878551698,0.2739656432125574,0.2,0.9999999995178098,True,3.8919933682121137e-138,9.736941906035846e-172,12.566370614359169,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.712604516147201e-74,4.763272402648614e-07,4.763272402648614e-07,40103.02871199954,2.7562062938428426e-30,2.7562062938428425e-21,2.2674824836272573e-32,True,True,True,0.0,True,1.688536102597301e-06,180.741476935127,0.2823825270764187,0.2,0.9999998973458363,True,3.2431133167561105e-136,8.619777289686445e-170,12.566370614359172,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,2.8722562937261145e-73,4.909611593778223e-07,4.909611593778223e-07,40103.028711999556,2.8408835840610185e-30,2.8408835840610184e-21,2.3371450022709663e-32,True,True,True,0.0,True,1.7404119951685156e-06,183.49688043919568,0.29105799786799463,0.2,0.999990664938348,True,3.4225681757370353e-134,9.664279098171474e-168,12.566370614359169,0.0,1.0
0.2540468430432572,128026.78500376896,503949.52155327325,5.213565397836093e-20,3.438227716859254e-72,5.060446677027831e-07,5.060446677027831e-07,40103.028711999556,2.928162364412465e-30,2.928162364412465e-21,2.4089477211317996e-32,True,True,True,0.0,True,1.7938816399999998e-06,186.2942900649304,0.3,0.2,0.9996362557083119,True,4.6162738886613185e-132,1.3848169102201807e-165,12.566370614359169,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,6.656429797370557e-44,1.2579687859896437e-07,1.2579687859896437e-07,14314.650015244306,3.22657963795276e-31,3.22657963795276e-22,2.6544503680403497e-33,True,True,True,2.8515099170789426e-09,True,4.4593832380925616e-07,92.88381611259732,0.07457654627803474,0.25,1.0,True,2.7999029744418477e-74,5.190459374637854e-109,12.566370614359172,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,6.783107515003185e-44,1.2966166144249142e-07,1.2966166144249142e-07,14314.650015244306,3.3257079292658346e-31,3.3257079292658346e-22,2.7360014713399898e-33,True,True,True,6.996563328698358e-10,True,4.596386222771023e-07,94.29982972899475,0.07686771724980178,0.25,1.0,True,2.7367443950318173e-74,5.389897246600125e-109,12.566370614359172,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,6.94431079790635e-44,1.3364517971565688e-07,1.3364517971565688e-07,14314.650015244306,3.4278816802424683e-31,3.4278816802424685e-22,2.820058020787526e-33,True,True,True,1.647234570967271e-10,True,4.737598268839516e-07,95.73743047053132,0.07922927850757505,0.25,1.0,True,2.6999250039276395e-74,5.649127589386257e-109,12.566370614359172,0.0,1.0
0.3154833644589709,56750.15629586063,179883.19730640211,5.213565397836093e-20,7.145529036652423e-44,1.3775108125659863e-07,1.3775108125659863e-07,14314.650015244304,3.533194454732491e-31,3.5331944547324913e-22,2.9066969897180313e-33,True,True,True,3.7165159838536965e-11,True,4.883148688793138e-07,97.19694743289251,0.08166339261033641,0.25,1.0,True,2.690783424996183e-74,5.981248701700028e-109,12.566370614359172,0.0,1.0
