radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
3.558756851350618255e+00,-2.496918762278307134e-13,8.481971862944771058e-13,-6.508158308578954054e-05,2.499804934391857003e-18
3.615696960972227814e+00,-1.104637840051406884e-13,6.140303318978255498e-13,-6.849834036554147687e-05,1.183008315288756833e-18
3.672637070593838260e+00,-3.273936527650685627e-14,4.150532686667119922e-13,-5.884056055597414181e-05,3.485341042041519637e-19
3.729577180215447818e+00,-1.600870512562542929e-14,4.219177400258119443e-13,-6.252167063571650862e-05,1.697218532533388115e-19
3.786517289837057820e+00,-1.192144616089202772e-14,4.156135953976948458e-13,-5.932569066546822256e-05,1.252245827172487300e-19
3.843457399458667823e+00,-1.462366153266639126e-14,4.348710908133172463e-13,-5.403860256662090800e-05,1.495029724151722518e-19
3.900397509080277381e+00,-1.234684806829943697e-14,4.144785359855193188e-13,-4.948574125600291307e-05,1.232850547856440562e-19
3.957337618701887383e+00,-8.130351492510208053e-15,3.246187755865775657e-13,-4.626961358144415781e-05,7.911752149375135720e-20
4.014277728323497385e+00,-5.920330263463125854e-15,2.772959345013529145e-13,-4.260867988133826278e-05,5.589025776902271272e-20
4.071217837945107831e+00,-5.129431391192588039e-15,2.618794381970948182e-13,-3.864915967765475413e-05,4.631829979268362256e-20
4.128157947566716501e+00,-3.483476661959399701e-15,2.093922223839816385e-13,-3.575553825835645072e-05,3.017823394825253974e-20
4.185098057188326948e+00,-2.009468599953307468e-15,1.529059423817032235e-13,-3.117327600606067950e-05,1.674424911814205439e-20
