barrier_max_J,chirp_margin,compliance,compliance_identity_relerr,compliance_pass,coupling_pass,gate_energy_J,ghat,lambda,lambda_pass,radiation_threshold_pass,sigma,sigma_energy,threshold_Hz,total_control_inventory_J
1.3527366823730998e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,71791528453.91994,3.981071705534969e-08,5.943349471729165e-19,True,False,80.0,98.65809608852153,6183868704.255293,71791528453.91994
1.5177955214338342e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,63984267084.6115,4.2169650342858225e-08,6.66854778764596e-19,True,False,80.0,98.65809608852153,6183868704.255293,63984267084.6115
1.7029945849056358e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,57026038064.96006,4.4668359215096346e-08,7.482233681133309e-19,True,False,80.0,98.65809608852153,6183868704.255293,57026038064.96006
1.910791351840439e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,50824509923.446236,4.731512589614813e-08,8.395204269631302e-19,True,False,80.0,98.65809608852153,6183868704.255293,50824509923.446236
2.1439431590855632e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,45297392149.45943,5.011872336272725e-08,9.419574118160935e-19,True,False,80.0,98.65809608852153,6183868704.255293,45297392149.45943
2.4055437894684463e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,40371343248.21799,5.3088444423098795e-08,1.0568935992241686e-18,True,False,80.0,98.65809608852153,6183868704.255293,40371343248.21799
2.6990645244150783e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,35980997543.69367,5.6234132519034905e-08,1.1858541225631423e-18,True,False,80.0,98.65809608852153,6183868704.255293,35980997543.69367
3.028400205745475e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,32068097815.804924,5.95662143529011e-08,1.3305502096259102e-18,True,False,80.0,98.65809608852153,6183868704.255293,32068097815.804924
3.3979209178582917e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,28580722262.500813,6.309573444801943e-08,1.4929018895756196e-18,True,False,80.0,98.65809608852153,6183868704.255293,28580722262.500813
3.8125299760956596e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,25472595528.993927,6.683439175686149e-08,1.6750634705661131e-18,True,False,80.0,98.65809608852153,6183868704.255293,25472595528.993927
4.2777289907587425e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,22702474661.917355,7.079457843841373e-08,1.879452126102268e-18,True,False,80.0,98.65809608852153,6183868704.255293,22702474661.917355
4.799690870133831e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,20233601840.391396,7.498942093324559e-08,2.108779969463809e-18,True,False,80.0,98.65809608852153,6183868704.255293,20233601840.391396
5.385341731234815e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,18033216622.073475,7.943282347242822e-08,2.3660900418007286e-18,True,False,80.0,98.65809608852153,6183868704.255293,18033216622.073475
6.042452805167957e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,16072121231.99202,8.413951416451964e-08,2.6547966914405254e-18,True,False,80.0,98.65809608852153,6183868704.255293,16072121231.99202
6.779743556647098e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,14324293125.81221,8.912509381337459e-08,2.978730880216058e-18,True,False,80.0,98.65809608852153,6183868704.255293,14324293125.81221
7.606997385992854e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,12766539686.482927,9.440608762859226e-08,3.34219101800154e-18,True,False,80.0,98.65809608852153,6183868704.255293,12766539686.482927
8.53519144891079e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,11378190472.299583,1e-07,3.749999999999999e-18,True,False,80.0,98.65809608852153,6183868704.255293,11378190472.299583
9.576642316678238e-07,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,10140822932.701431,1.0592537251772897e-07,4.20756920363237e-18,True,False,80.0,98.65809608852153,6183868704.255293,10140822932.701431
1.074516940956211e-06,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,9038017952.218338,1.1220184543019653e-07,4.720970294228142e-18,True,False,80.0,98.65809608852153,6183868704.255293,9038017952.21834
1.205627837212959e-06,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,8055141978.784245,1.188502227437019e-07,5.297015792335333e-18,True,False,80.0,98.65809608852153,6183868704.255293,8055141978.7842455
1.3527366823731e-06,1.3856226489127275,87.77927622237702,1.5216991488996325e-10,True,True,7179152845.391992,1.2589254117941662e-07,5.943349471729166e-18,True,False,80.0,98.65809608852153,6183868704.255293,7179152845.391993
