x,r_m,rho_dimless,pr_dimless,pt_dimless,enclosed_mass_kg,compactness,nu,lambda_metric
0.7801071221402676,0.02574353503062883,2.108002852366975,1.7969689638273947,1.766297420989499,1.0726080503661774e-09,6.18824048716636e-35,-5.3299502260256736e-33,3.09412024358318e-35
0.8101108576072009,0.026733658301037633,2.1057785589680647,1.7945655755895495,1.7615251528931353,1.2004297516947486e-09,6.66918356441888e-35,-5.32565460865219e-33,3.33459178220944e-35
0.8401145930741343,0.02772378157144643,2.103473069047544,1.7920742459920707,1.7565810208961004,1.3379311099473697e-09,7.167630307506147e-35,-5.3212020661250506e-33,3.5838151537530737e-35
0.8701183285410676,0.028713904841855233,2.101086683547994,1.7894952779334068,1.751465927045513,1.4854485079050105e-09,7.683509959360202e-35,-5.3165931669745696e-33,3.841754979680101e-35
0.900122064008001,0.029704028112264035,2.0986197137476683,1.7868289848066876,1.7461808041548406,1.6433159593823917e-09,8.216749352008331e-35,-5.311828499319197e-33,4.1083746760041654e-35
0.9301257994749343,0.030694151382672834,2.0960724811958724,1.7840756904448687,1.7407266155898264,1.8118650323946923e-09,8.767272923642689e-35,-5.3069086707503705e-33,4.3836364618213447e-35
0.9601295349418678,0.03168427465308164,2.0934453169564846,1.7812357284262934,1.7351043544360663,1.9914247730957e-09,9.33500273610561e-35,-5.301834308214275e-33,4.667501368052805e-35
0.9901332704088012,0.03267439792349044,2.090738564937454,1.7783094451592252,1.7293150462843752,2.182321630631433e-09,9.919858493357158e-35,-5.296606057887888e-33,4.959929246678579e-35
1.0201370058757346,0.03366452119389925,2.0879525751143606,1.7752971936206412,1.7233597430529866,2.384879382792354e-09,1.052175756020695e-34,-5.291224585052437e-33,5.260878780103475e-35
1.050140741342668,0.03465464446430805,2.0850877105159684,1.7721993398225078,1.7172395289977267,2.59941906232529e-09,1.1140614980662275e-34,-5.2856905739677304e-33,5.570307490331137e-35
1.0801444768096014,0.035644767734716844,2.082144343404031,1.7690162592846903,1.7109555171499153,2.8262588846782388e-09,1.1776343499188687e-34,-5.280004727731605e-33,5.888171749594343e-35
1.1101482122765347,0.036634891005125646,2.079122854062413,1.7657483359222874,1.7045088480733077,3.0657141759413827e-09,1.2428853579318397e-34,-5.2741677681504995e-33,6.214426789659199e-35
1.140151947743468,0.03762501427553445,2.076023636451724,1.7623959672809455,1.6979006946301813,3.318097302440155e-09,1.3098053425841996e-34,-5.268180435592393e-33,6.549026712920998e-35
1.1701556832104014,0.03861513754594325,2.0728470892372446,1.7589595562474363,1.6911322539370008,3.583717600782125e-09,1.3783849005331517e-34,-5.2620434888460125e-33,6.891924502665759e-35
1.2001594186773348,0.03960526081635205,2.0695936255810676,1.755439520112091,1.6842047557097535,3.8628813090362565e-09,1.4486144067831635e-34,-5.2557577049737895e-33,7.243072033915818e-35
1.2301631541442681,0.040595384086760854,2.066263664692841,1.7518362827629288,1.67711945470389,4.1558914992122654e-09,1.5204840170133078e-34,-5.249323879155997e-33,7.602420085066539e-35
1.2601668896112015,0.04158550735716965,2.0628576364707056,1.7481502789858383,1.6698776345385147,4.46304801006691e-09,1.5939836696889e-34,-5.24274282454392e-33,7.9699183484445e-35
1.2901706250781348,0.04257563062757845,2.0593759814024164,1.7443819543808246,1.6624806073874572,4.784647381924884e-09,1.669103088581268e-34,-5.2360153720929e-33,8.34551544290634e-35
1.3201743605450682,0.04356575389798725,2.055819145787853,1.7405317609533704,1.6549297096562567,5.120982791566242e-09,1.7458317849666124e-34,-5.229142370408955e-33,8.729158924833062e-35
1.3501780960120016,0.044555877168396055,2.052187589918865,1.7366001646874458,1.6472263087746055,5.472343988982002e-09,1.8241590601544166e-34,-5.2221246855792394e-33,9.120795300772083e-35
1.3801818314789351,0.045546000438804864,2.048481778251387,1.7325876364665516,1.6393717945650845,5.8390172349079134e-09,1.9040740079398324e-34,-5.21496320100454e-33,9.520370039699162e-35
1.4101855669458685,0.046536123709213666,2.044702188041028,1.7284946600697446,1.6313675863766313,6.221285239236327e-09,1.985565517023243e-34,-5.2076588172324514e-33,9.927827585116216e-35
1.4401893024128019,0.04752624697962246,2.0408493036291926,1.7243217268971953,1.623215127989371,6.619427101389072e-09,2.0686222737402166e-34,-5.2002124517747964e-33,1.0343111368701083e-34
1.4701930378797352,0.04851637025003126,2.0369236174648164,1.7200693369263778,1.6149158882518482,7.033718250641089e-09,2.153232764442102e-34,-5.1926250389401796e-33,1.076616382221051e-34
1.5001967733466686,0.049506493520440065,2.0329256336054917,1.7157380019604593,1.606471363777491,7.464430388955939e-09,2.239385278344546e-34,-5.1848975296437935e-33,1.119692639172273e-34
1.530200508813602,0.05049661679084887,2.02885586017843,1.7113282386675848,1.597883072379038,7.91183143390979e-09,2.3270679100669057e-34,-5.177030891230187e-33,1.1635339550334528e-34
1.5602042442805353,0.05148674006125767,2.0247148187502226,1.7068405772587432,1.5891525606476757,8.376185463412268e-09,2.416268562396998e-34,-5.169026107284782e-33,1.208134281198499e-34
