index,reference_equivalent_energy_j,reference_equivalent_energy_mj,band,susceptibility_gain,amplitude_response_gain,z1,z2,g1,g2,rho,productive_participation,cancellation_tax,scaffold_tax,total_tax,kinetic_min_eigenvalue,kinetic_condition_number,distance_from_unit_template,positive_hamiltonian,physical_model,complete_energy_prediction,certification_eligible
614645,9058889.636386126,9.058889636386127,TARGET_LT_10MJ,8.45242755902203,2.9073058936104452,0.942974019079932,0.7014034688821569,1.2405618042685091,1.9620417403057218,-0.17784963361918926,0.8336570276878774,1.1844480689615011,1.0122457505469404,1.4381843908580336,0.6337486839993229,1.5946838699294967,0.7234974737875585,True,False,False,False
469237,8947818.64383309,8.94781864383309,TARGET_LT_10MJ,9.124263738009454,3.020639623988511,0.9426444610961826,0.7475519782316765,1.501498254481703,1.6811481066979468,-0.3278063274919987,0.9844213593751192,1.3080807104706764,1.1540367388859687,1.5334624578538725,0.553143426757783,2.055620581509653,0.7235640389592974,True,False,False,False
826553,9027607.651025897,9.027607651025896,TARGET_LT_10MJ,8.448965810222294,2.906710479256972,0.650271302158,0.8467507816389845,1.7428850727155805,1.3551835245452821,-0.19974662829190493,0.9338448825292289,1.0380126787349582,1.2888621157627491,1.432631095733421,0.5706909452689192,1.6231747607131957,0.7242601826494701,True,False,False,False
453101,9203018.188576018,9.203018188576019,TARGET_LT_10MJ,8.503094426129545,2.916006588835071,0.7913057833841125,0.828177692758802,1.5805570567026734,1.7431421596556902,-0.1976108467206359,0.8972197156399488,1.2890819739550352,1.0230190004388184,1.4698243133662825,0.6487106470768101,1.4964650779828512,0.7244934670089437,True,False,False,False
586170,9392086.963212986,9.392086963212986,TARGET_LT_10MJ,7.973799246376553,2.8237916435843053,0.8912915412374465,1.1107081592585695,2.047778476960957,1.2613323396071792,-0.25436373334378004,0.7816906864754856,1.0087571842595935,1.0900184377600723,1.4066483701163743,0.7251601603673055,1.7607690134024605,0.7247777788469791,True,False,False,False
105490,8872139.78172096,8.87213978172096,TARGET_LT_10MJ,7.0192330419527575,2.6493835211144416,0.7896896991675961,1.0995550443484787,1.1746249552816153,2.178590790834278,-0.14652827940881252,0.9903247109614313,1.1038709692656994,1.0493865310599242,1.16970455685277,0.7381104917347017,1.5595690139507246,0.7306566660380173,True,False,False,False
1009293,7432552.485792379,7.432552485792379,TARGET_LT_10MJ,10.015517686407133,3.1647302707193123,0.8343299211766312,0.6679138663716394,1.14294419484213,1.7116636708378792,-0.4269376639276743,0.83263696776703,1.0355516159906983,1.124225598641834,1.3982007531251004,0.42173053655829545,2.562093937536384,0.7331709732570529,True,False,False,False
333753,9823428.318970162,9.823428318970162,TARGET_LT_10MJ,8.40588475659301,2.8992903884559427,0.6525550242159845,0.9609132615779207,1.2663729786872864,1.5911451559513807,-0.394302261993289,0.9742067861370742,1.0730101251974702,1.4081599467801278,1.5509744977079325,0.4585084203595934,2.5189501744123124,0.7335676849269495,True,False,False,False
369173,9439479.411130385,9.439479411130385,TARGET_LT_10MJ,8.024497003075453,2.8327543139276044,0.9812724794466879,0.5463072548066553,1.2939738756977022,1.4716145019046962,-0.30708136036992073,0.9788745455443859,1.1104127625003457,1.254199427494472,1.4227349739041093,0.45097982439220835,2.3872462838267396,0.7385841996331618,True,False,False,False
106951,6849829.5445259465,6.849829544525947,TARGET_LT_10MJ,10.287619881842653,3.207431976183229,1.0410188102685578,0.9700713331044929,1.5860252217389643,1.6642301641404629,-0.48817398119717836,0.9138958351686597,1.1104596629738808,1.0892980566351962,1.323587991432292,0.5136887985126758,2.9149970744854095,0.7394380683818368,True,False,False,False
549285,8928644.267629068,8.928644267629068,TARGET_LT_10MJ,7.293560837483303,2.700659333844849,0.8518404720393278,0.6395860158003579,0.7436408726498485,1.6710677132941782,-0.373866762034595,0.9992077019996941,1.0644350843504071,1.1482061461057511,1.2231600132142548,0.4500501298513394,2.3139119153955887,0.739616650370107,True,False,False,False
