success,omega,epsilon,chi,m_x_gev,m_x_eV,F_gev,M_c_gev,M_m_gev,y_center,u_center,E_x_on_J,E_on_J,E_inventory_J,noether_charge,E_over_QmX,source_leak_fraction,payload_x_overlap_fraction,payload_backreaction_ratio,surface_min_acceleration_mps2,surface_max_acceleration_mps2,a_cm_mps2,scalar_charge_kg,alpha_eff_tail,scalar_energy_identity_relerr,scalar_fixed_x_hessian,DEC_margin_normalized,conservation_rel,source_containment_pass,payload_overlap_pass,backreaction_pass,noether_decay_pass,scalar_identity_pass,scalar_fixed_x_stability_pass,DEC_pass,conservation_pass,finite_payload_1g_pass,prefilter_pass,target_83gj_pass,target_1tj_pass,chi_factor,chi_critical
True,0.4,0.025,0.19197651325250903,2.3918421866666665e-15,2.3918421866666666e-06,40.60404921115742,211.50529574287256,1258781646.454856,10.749592085850615,0.7156921687593686,893084623635.3446,927647800573.9277,964936027047.417,4.7793128509975494e+36,0.5064945117114948,0.0001234460701341447,3.007749721258963e-14,0.006086036390265097,9.806650000000001,14.293440486822451,11.821779707214342,-17110496107.3856,1721913756019162.8,1.8651228670566602e-10,0.001580257150646406,0.0,9.161261622634916e-07,False,True,True,True,True,True,True,True,True,False,False,False,1.1,0.17452410295682638
True,0.55,0.01,1.3431017478402099,5.979605466666666e-15,5.979605466666666e-06,304.7598301926028,226.90747792017643,1258781646.4499872,1.5649140035157911,2.2504249077740575,329716599250.8583,449457097846.9491,750421999983.2954,6.008532011000412e+35,0.7807948497018028,1.2179974422368344e-16,1.7341191208609082e-38,0.0060860363903121745,9.80665,14.293440486812916,11.821779707157024,-17110496107.100382,4664049981697303.0,8.993210349879641e-11,0.0017578336482249736,0.0,1.7775326574332293e-06,True,True,True,True,True,True,True,True,True,True,False,True,5.0,0.268620349568042
True,0.55,0.01,0.8394385924001312,5.979605466666666e-15,5.979605466666666e-06,216.58986603026938,258.01752265284046,1258781646.4499876,2.4981885710633134,2.019028635255099,408477165121.5595,531286667842.6025,783555811557.5796,7.220824858767535e+35,0.7679963969098229,4.622409504392782e-17,6.121037793589685e-39,0.006086036390312171,9.80665,14.293440486812921,11.82177970715703,-17110496107.100391,3764750713160727.5,6.570735351145317e-10,0.0017379148072552445,0.0,1.8847407936384227e-06,True,True,True,True,True,True,True,True,True,True,False,True,3.125,0.268620349568042
True,0.55,0.01,0.537240699136084,5.979605466666666e-15,5.979605466666666e-06,172.37788709204636,320.85783405695173,1258781646.4499876,3.786564059853617,1.6667939549685304,590190917917.2377,716241896325.7063,917338854130.7229,1.0048520190533961e+36,0.7440030019282126,1.4559960866343092e-17,1.7665167871100142e-39,0.006086036390312171,9.80665,14.293440486812923,11.821779707157035,-17110496107.100393,2605622438461364.0,6.648425662462094e-10,0.001696217328643443,0.0,1.8812393238696554e-06,True,True,True,True,True,True,True,True,True,True,False,True,2.0,0.268620349568042
True,0.55,0.01,0.5036631554400787,5.979605466666666e-15,5.979605466666666e-06,169.07916601870926,335.6988975518277,1258781646.4499874,4.009713521347765,1.6006888677976006,637931299853.4819,764492174596.6932,958449049195.1987,1.0794828456483017e+36,0.739221134673114,1.2152226192843341e-17,1.454106847992929e-39,0.0060860363903121745,9.80665,14.293440486812917,11.821779707157024,-17110496107.100391,2410627443824223.5,6.612534952629967e-10,0.0016858949371886384,0.0,1.8830828626862501e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.875,0.268620349568042
True,0.55,0.01,0.4297925593088672,5.979605466666666e-15,5.979605466666666e-06,165.43268396506596,384.9128617561269,1258781646.4499874,4.599153896042935,1.414457812404946,810118795600.8011,938008526905.3674,1115062150698.9163,1.349157115938653e+36,0.7257070364151638,7.71922802036722e-18,8.918501884385017e-40,0.006086036390312174,9.80665,14.293440486812914,11.821779707157019,-17110496107.100388,1898258264160859.8,6.482169459558992e-10,0.0016501931332761413,0.0,1.8898911165031842e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.6,0.268620349568042
True,0.55,0.01,0.33577543696005246,5.979605466666666e-15,5.979605466666666e-06,184.34565728703626,549.014719349373,1258781646.4499872,5.629036096834896,1.017509219091648,1543858540536.6472,1674136066584.2756,1827149744973.853,2.501037725756508e+36,0.6986949205618659,3.758022132579437e-18,4.102670160524938e-40,0.0060860363903121745,9.80665,14.293440486812912,11.821779707157024,-17110496107.10038,996085236000129.9,6.209286154611173e-10,0.0015150998878470468,0.0,1.9029386127856992e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.25,0.268620349568042
True,0.55,0.01,0.2954823845248462,5.979605466666666e-15,5.979605466666666e-06,240.55986786612507,814.1259190559197,1258781646.4499874,6.209768932371621,0.6977568998698522,3261148592107.7886,3392894652389.46,3534701726859.4478,5.19941242863551e+36,0.6811349784596764,2.5958714670652435e-18,2.7504941099818957e-40,0.0060860363903121745,9.80665,14.293440486812914,11.821779707157022,-17110496107.100386,471556157368260.9,6.38385846363919e-10,0.0012659160417932396,0.0,1.79557380342253e-06,True,True,True,True,True,True,True,True,True,True,False,False,1.1,0.268620349568042
True,0.55,0.02,1.3613649915525077,2.989802733333333e-15,2.989802733333333e-06,147.96614795046327,108.68954973032024,1258781646.450243,1.6072401977127466,2.267834501966282,160930150120.48404,218218861446.76862,363405570466.7617,5.863921909240016e+35,0.7768750592099884,1.0415504828245096e-06,2.0379175637489654e-17,0.006086036390309703,9.80665,14.29344048679688,11.821779707133382,-17110496107.157053,9555789872531878.0,1.2071057503492896e-10,0.0020587914716500913,0.0,1.7690731437016995e-06,True,True,True,True,True,True,True,True,True,True,False,True,5.0,0.27227299831050156
True,0.55,0.02,0.8508531197203174,2.989802733333333e-15,2.989802733333333e-06,105.35162754433684,123.81881796351267,1258781646.4502432,2.5529078312727336,2.031308859020003,199313110188.652,258065647045.1857,379077357452.7322,7.046380315977993e+35,0.7645593227026699,5.104664832318236e-07,8.564813401028756e-18,0.006086036390309701,9.806650000000001,14.293440486796891,11.821779707133386,-17110496107.157055,7715572233310683.0,7.165517663861884e-10,0.0020386200944753517,0.0,1.8731480631603972e-06,True,True,True,True,True,True,True,True,True,True,False,True,3.125,0.27227299831050156
True,0.55,0.02,0.5445459966210031,2.989802733333333e-15,2.989802733333333e-06,84.12914705105949,154.49410623362323,1258781646.4502428,3.8492227386834017,1.673665869570907,288363272015.9681,348707965075.66754,444867663387.76105,9.819592752387434e+35,0.7413366351635552,2.2083389035822366e-07,3.0774087293475166e-18,0.006086036390309704,9.80665,14.293440486796882,11.821779707133386,-17110496107.157045,5332907647896293.0,7.114607648875604e-10,0.0019957155300305363,0.0,1.8743979374245166e-06,True,True,True,True,True,True,True,True,True,True,False,True,2.0,0.27227299831050156
True,0.55,0.02,0.5105118718321904,2.989802733333333e-15,2.989802733333333e-06,82.58454663274975,161.76812174094943,1258781646.4502428,4.0727304249527725,1.606575263818208,311890555913.3515,372491324733.80115,465214010329.74207,1.0555512933763782e+36,0.7366885027022354,1.9398171426557664e-07,2.6248641960956344e-18,0.006086036390309705,9.80665,14.29344048679688,11.82177970713339,-17110496107.157043,4930622840447872.0,7.057508043189612e-10,0.001984948519769972,0.0,1.8771548073407894e-06,True,True,True,True,True,True,True,True,True,True,False,True,1.875,0.27227299831050156
