radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
2.341052185299698057e+21,7.586833437627733823e-02,-2.421600943608012065e-11,7.651038176051162786e-15,-2.420835839790406846e-11
2.346451570741650129e+21,7.604331654143739461e-02,-2.410469144837725418e-11,7.668684473900905133e-15,-2.409702276390335333e-11
2.351863409286243942e+21,7.621870228416875725e-02,-2.399388517563792801e-11,7.686371471041473131e-15,-2.398619880416688582e-11
2.357287729655221060e+21,7.639449253527967609e-02,-2.388358826557206057e-11,7.704099261341398045e-15,-2.387588416631071872e-11
2.362724560636570239e+21,7.657068822772533645e-02,-2.377379837670267234e-11,7.721867938885728214e-15,-2.376607650876378719e-11
2.368173931084674761e+21,7.674729029661261914e-02,-2.366451317831631321e-11,7.739677597976499214e-15,-2.365677350071833606e-11
2.373635869920470237e+21,7.692429967920519363e-02,-2.355573035041347039e-11,7.757528333133254504e-15,-2.354797282208033748e-11
2.379110406131590103e+21,7.710171731492829195e-02,-2.344744758365948043e-11,7.775420239093518744e-15,-2.343967216342038672e-11
2.384597568772528144e+21,7.727954414537394068e-02,-2.333966257933533781e-11,7.793353410813331067e-15,-2.333186922592452375e-11
2.390097386964791067e+21,7.745778111430588753e-02,-2.323237304928894298e-11,7.811327943467738901e-15,-2.322456172134547479e-11
2.395609889897045295e+21,7.763642916766440305e-02,-2.312557671588663476e-11,7.829343932451287066e-15,-2.311774737195418469e-11
2.401135106825283174e+21,7.781548925357160973e-02,-2.301927131196467103e-11,7.847401473378552622e-15,-2.301142391049129118e-11
2.406673067072971866e+21,7.799496232233636694e-02,-2.291345458078117468e-11,7.865500662084630806e-15,-2.290558908011909024e-11
2.412223800031207490e+21,7.817484932645922535e-02,-2.280812427596830901e-11,7.883641594625650946e-15,-2.280024063437368234e-11
2.417787335158875030e+21,7.835515122063764493e-02,-2.270327816148444346e-11,7.901824367279279759e-15,-2.269537633711716409e-11
2.423363701982806147e+21,7.853586896177104648e-02,-2.259891401156674577e-11,7.920049076545254615e-15,-2.259099396249020098e-11
2.428952930097925980e+21,7.871700350896565501e-02,-2.249502961068402301e-11,7.938315819145853701e-15,-2.248709129486487811e-11
2.434555049167424586e+21,7.889855582353996755e-02,-2.239162275348949800e-11,7.956624692026460847e-15,-2.238366612879747014e-11
2.440170088922902168e+21,7.908052686902955486e-02,-2.228869124477418019e-11,7.974975792356034106e-15,-2.228071626898182511e-11
2.445798079164534751e+21,7.926291761119233503e-02,-2.218623289942012026e-11,7.993369217527657958e-15,-2.217823953020259320e-11
