target,target_outward_acceleration_m_s2,radius_m,z_rrep_over_R,mass_kg,charge_c,repulsion_radius_m,repulsive_zone_width_m,surface_electric_field_v_m,surface_field_over_schwinger,em_field_energy_mass_outside_kg,em_field_mass_fraction_of_adm,shell_surface_energy_j_m2,shell_surface_pressure_n_m,shell_nec,shell_wec,shell_dec,reconstructed_surface_repulsion_m_s2
micro_g,9.806649999999999e-06,1.0,1.433067067067067,339281.19820384023,2205023.1548813134,1.433067067067067,0.4330670670670671,1.9817759807630932e+16,0.014976178707360186,243106.3558104888,0.7165335335335336,6.878488651803124e+20,-8.693564075646769e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4335665665665664,338890.3221498253,2204136.645724289,1.433566566566567,0.4335665665665669,1.980979226066786e+16,0.014970157673280828,242910.9177834814,0.7167832832832834,6.864510794211177e+20,-8.686575146850801e+20,False,False,False,9.806650000000012e-06
micro_g,9.806649999999999e-06,1.0,1.434066066066066,338500.34569339955,2203251.8213909604,1.434066066066066,0.434066066066066,1.9801839856145016e+16,0.014964148082265327,242715.9295552684,0.7170330330330329,6.850565106528003e+20,-8.679602303009202e+20,False,False,False,9.806649999999989e-06
micro_g,9.806649999999999e-06,1.0,1.4345655655655656,338111.26573250984,2202368.6768694757,1.4345655655655656,0.4345655655655656,1.979390254901812e+16,0.014958149900273948,242521.38957482358,0.7172827827827827,6.836651477823113e+20,-8.67264548865676e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4350650650650651,337723.0791793484,2201487.2071684417,1.4350650650650651,0.43506506506506515,1.978598029442677e+16,0.014952163093405918,242327.2962982429,0.7175325325325326,6.822769797675498e+20,-8.665704648582956e+20,False,False,False,9.806650000000002e-06
micro_g,9.806649999999999e-06,1.0,1.4355645645645645,337335.7829602721,2200607.407316819,1.4355645645645647,0.4355645645645647,1.9778073047693484e+16,0.014946187627898698,242133.64818870477,0.7177822822822824,6.808919956170652e+20,-8.658779727830533e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.436064064064064,336949.3740157204,2199729.2723638145,1.436064064064064,0.43606406406406406,1.9770180764322764e+16,0.014940223470127268,241940.44371642888,0.718032032032032,6.795101843897679e+20,-8.651870671694044e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4365635635635636,336563.8493001355,2198852.7973787803,1.4365635635635639,0.43656356356356385,1.9762303400000148e+16,0.014934270586603416,241747.68135863644,0.7182817817817818,6.781315351946414e+20,-8.644977425718411e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.437063063063063,336179.20578188257,2197977.977451105,1.4370630630630628,0.43706306306306275,1.9754440910591264e+16,0.01492832894397503,241555.3595995099,0.7185315315315313,6.767560371904593e+20,-8.638099935697496e+20,False,False,False,9.806649999999985e-06
micro_g,9.806649999999999e-06,1.0,1.4375625625625625,335795.4404431689,2197104.8076901124,1.437562562562563,0.437562562562563,1.9746593252140908e+16,0.014922398509025384,241363.47693015318,0.7187812812812814,6.75383679585493e+20,-8.631238147672674e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.438062062062062,335412.55027996685,2196233.2832249557,1.438062062062062,0.4380620620620621,1.973876038087209e+16,0.014916479248672433,241172.03184855208,0.7190310310310309,6.74014451637242e+20,-8.624392007931416e+20,False,False,False,9.806649999999999e-06
micro_g,9.806649999999999e-06,1.0,1.4385615615615617,335030.5323019339,2195363.3992045186,1.4385615615615615,0.43856156156156145,1.9730942253185148e+16,0.014910571129968145,240981.0228595356,0.7192807807807807,6.726483426521417e+20,-8.617561463005911e+20,False,False,False,9.806649999999992e-06
micro_g,9.806649999999999e-06,1.0,1.439061061061061,334649.38353233587,2194495.150797311,1.4390610610610612,0.43906106106106124,1.9723138825656824e+16,0.01490467412009778,240790.44847473662,0.7195305305305305,6.712853419852903e+20,-8.610746459671657e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.4395605605605606,334269.1010079687,2193628.533191368,1.4395605605605606,0.4395605605605606,1.9715350055039324e+16,0.014898788186379207,240600.30721255305,0.7197802802802803,6.699254390401729e+20,-8.603946944946069e+20,False,False,False,9.806649999999995e-06
micro_g,9.806649999999999e-06,1.0,1.44006006006006,333889.6817790826,2192763.5415941495,1.4400600600600602,0.44006006006006015,1.9707575898259452e+16,0.014892913296262234,240410.59759811,0.7200300300300301,6.68568623268385e+20,-8.597162866087133e+20,False,False,False,9.806650000000005e-06
micro_g,9.806649999999999e-06,1.0,1.4405595595595595,333511.1229093047,2191900.17123244,1.4405595595595597,0.4405595595595597,1.9699816312417684e+16,0.014887049417327911,240221.31816322106,0.7202797797797799,6.67214884169361e+20,-8.590394170592015e+20,False,False,False,9.806650000000005e-06
