sample_index,g,m_gev,mmax_gev,alpha,epsilon,static_response_ratio,reversal_fractional_bandwidth,required_q,pole_frequency_hz_20cm,linewidth_hz_20cm
8360147,0.03172276575167241,952986550772.5708,1000000000000.0,0.016957547560366826,8.723720925830551e-06,1.0000000000761033,3.8051783946002615e-11,26279976818.407516,985515.377253178,3.750061821070119e-05
8515155,0.03224725489557104,968114957010.8651,1000000000000.0,1.9462226974226946,8.718067274761088e-06,1.0000000000760048,3.800249004370926e-11,26314065179.671955,10732474.268377945,0.00040786074652839863
8613075,0.03107052738652358,932067490653.604,965377672076.7119,0.018458884065079086,8.711336145474808e-06,1.0000000000758875,3.794387026800905e-11,26354717980.445778,1007075.8577766631,3.821235569752164e-05
9396435,0.031592664646772704,947296232426.5917,998096459483.4419,0.10723680839706135,8.707341728831501e-06,1.0000000000758178,3.790900926503582e-11,26378953694.321907,2468135.7142967437,9.356457966064106e-05
6107731,0.033061514421201525,990827328365.8628,1000000000000.0,0.06528958385644039,8.702845428493043e-06,1.0000000000757396,3.7869929414569015e-11,26406175439.431583,2015373.44635514,7.632205015746585e-05
7413331,0.03241783845479697,971309863528.9575,1000000000000.0,0.3835292345664626,8.700811939072128e-06,1.000000000075704,3.785216584617501e-11,26418567541.520237,4789543.582535777,0.00018129459801362747
2182739,0.032195404588754147,964530913766.6617,1000000000000.0,0.016489005580533456,8.699780616821735e-06,1.0000000000756863,3.784328406197801e-11,26424767955.18712,986283.933330242,3.7324223054781335e-05
6010067,0.03082266634971557,923060586322.166,950036760905.8885,0.015041335636123648,8.696530790467016e-06,1.0000000000756297,3.781486235254761e-11,26444628851.931534,901829.1006031788,3.4102543304831015e-05
3529427,0.030286060763448076,904913809589.9833,917245476567.269,0.14596695489197983,8.676617714228844e-06,1.0000000000752838,3.764188960531101e-11,26566147727.58132,2760456.4647011426,0.00010390879750454752
4304595,0.02995813559653961,894912378739.3932,897489888420.6537,5.5639536784966435,8.674646180227653e-06,1.0000000000752496,3.762479217073178e-11,26578219899.85362,16858439.58437529,0.0006342952856849581
1407571,0.0327170450377414,976244516164.2563,1000000000000.0,0.18628610565377052,8.665040004983907e-06,1.000000000075083,3.7541525443884893e-11,26637170124.979275,3368799.334556761,0.00012646986593360516
6882899,0.031856535358846215,950071828594.7882,1000000000000.0,0.049655470094583896,8.660519343863814e-06,1.0000000000750047,3.750244559341809e-11,26664927691.42251,1693530.1350031379,6.351152174876917e-05
4018771,0.032975158686775044,983359392931.6941,1000000000000.0,0.03806804910730142,8.65987080488784e-06,1.0000000000749933,3.749667243369004e-11,26669033146.03243,1534892.7810515088,5.755337183192395e-05
