E_over_Qm,V_classical_eV,V_cutoff_eV,V_payload_reaction_eV,V_required_eV,V_self_eV,V_source_reaction_eV,activation_charge,activation_energy_GJ,activation_energy_J,activation_energy_fraction,candidate_pass,cutoff_GeV,cutoff_eV,f_leak_10m,m_A_eV,metric_gradient_relerr_max,metric_operator_scale_eV,mu_mA_over_mX,omega_activation,payload_f_min,payload_f_volume_mean,payload_reaction_ratio,self_coupling_est,source_f_min,source_reaction_ratio
0.43581007030370333,2.0065658721158625e-06,145810824286.55618,8.991943187992131,145810824286.55618,1.212177480246898e-06,1.1573035740061382e-09,5.280471309280242e+39,141333.9685489257,141333968548925.72,1162.7297228880354,True,100.0,100000000000.0,8.271926477121383e-10,3.833241765943963e-07,0.0,100000000000.0,0.06410526225036725,0.35,1.0,1.0,3.803010972588261e-22,6.911190956841307e-36,1.0,6.299630231268296e-42
0.43581007030370333,2.0682124045523515e-06,145810824286.55618,20.06846538673616,145810824286.55618,1.249418489571962e-06,1.1454480004707212e-09,4.970376108230271e+39,137121.2730552949,137121273055294.9,1128.0726173513335,True,100.0,100000000000.0,2.545246235996501e-10,3.9510081777747347e-07,0.0,100000000000.0,0.06607473017742801,0.35,1.0,1.0,1.894300165913649e-21,7.342371033074917e-36,1.0,6.171222809411767e-42
0.43581007030370333,2.1317528668190326e-06,145810824286.55618,46.301264750932106,145810824286.55618,1.2878036323248041e-06,1.1358545593172362e-09,4.678491219874396e+39,133034.1440019491,133034144001949.12,1094.448524853292,True,100.0,100000000000.0,7.567180215772851e-11,4.0723926571844214e-07,0.0,100000000000.0,0.06810470489877618,0.35,1.0,1.0,1.008338102309957e-20,7.800451864808106e-36,1.0,6.068284324100982e-42
0.43581007030370333,2.1972454449980716e-06,145810824286.55618,110.43357397706006,145810824286.55618,1.3273680590377072e-06,1.1286654888291312e-09,4.403747245243228e+39,129068.838670966,129068838670966.0,1061.8266547112644,True,100.0,100000000000.0,2.1715074183248362e-11,4.197506359916004e-07,0.0,100000000000.0,0.07019704532874317,0.35,1.0,1.0,5.73617939164278e-20,8.287111754648836e-36,1.0,5.991712431491803e-42
0.43581007030370333,2.264750112788106e-06,145810824286.55618,272.2489142147614,145810824286.55618,1.368148000151897e-06,1.1240495743043623e-09,4.145137585725336e+39,125221.72590239528,125221725902395.28,1030.1771340104374,True,100.0,100000000000.0,6.00819394236396e-12,4.3264638566843887e-07,0.0,100000000000.0,0.07235366749198217,0.35,1.0,1.0,3.486203885347906e-19,8.804133712288257e-36,1.0,5.942803914869234e-42
0.43581007030370333,2.3343286864241237e-06,145810824286.55618,693.4572252171242,145810824286.55618,1.4101807991949436e-06,1.122214707906117e-09,3.901714755121888e+39,121489.28276908667,121489282769086.67,999.4709802482231,True,100.0,100000000000.0,1.6009416015094757e-12,4.4593832380925616e-07,0.0,100000000000.0,0.07457654627803474,0.35,1.0,1.0,2.2618292954264017e-18,9.353411987037355e-36,1.0,5.92341802376655e-42
0.43581007030370333,2.4060448812846158e-06,145810824286.55618,1823.8378480462227,145810824286.55618,1.4535049469774526e-06,1.1233955275085316e-09,3.6725869082755615e+39,117868.09135063007,117868091350630.08,969.6800747940327,True,100.0,100000000000.0,4.1033842990145786e-13,4.596386222771023e-07,0.0,100000000000.0,0.07686771724980178,0.35,1.0,1.0,1.5645625032119126e-17,9.936959007919912e-36,1.0,5.935890089843491e-42
0.43581007030370333,2.479964370237829e-06,145810824286.55618,4948.468505447266,145810824286.55618,1.4981601168403588e-06,1.1278822023054983e-09,3.4569145735554136e+39,114354.83560345431,114354835603454.31,940.7771371401284,True,100.0,100000000000.0,1.0103029524088925e-13,4.737598268839516e-07,0.0,100000000000.0,0.07922927850757505,0.35,1.0,1.0,1.151760263235977e-16,1.0556912756748684e-35,1.0,5.98339889818586e-42
0.43581007030370333,2.5561548437805662e-06,145810824286.55618,13833.952743858763,145810824286.55618,1.5441872009851054e-06,1.136020448509951e-09,3.2539075772262625e+39,110946.29832421699,110946298324216.98,912.7356999199657,True,100.0,100000000000.0,2.3869795029440866e-14,4.883148688793138e-07,0.0,100000000000.0,0.08166339261033641,0.35,1.0,1.0,9.001461855261317e-16,1.1215544601198094e-35,1.0,6.070056974111375e-42
0.43581007030370333,2.6346860720245943e-06,145810824286.55618,39786.919223517616,145810824286.55618,1.591628347919973e-06,1.1482280732332008e-09,3.062822148434199e+39,107639.3582037062,107639358203706.2,885.5300846711604,True,100.0,100000000000.0,5.440092820663267e-15,5.033170767918036e-07,0.0,100000000000.0,0.08417228855608394,0.35,1.0,1.0,7.445623887388192e-15,1.1915267616572031e-35,1.0,6.201215036583107e-42
0.43581007030370333,2.715629968587415e-06,145810824286.55618,117495.81722336265,145810824286.55618,1.6405270010568486e-06,1.1650040784815119e-09,2.8829581942015825e+39,104430.98696855546,104430986968555.45,859.1353783208791,True,100.0,100000000000.0,1.2212453270876722e-15,5.1878018863451e-07,0.0,100000000000.0,0.08675826382299838,0.35,1.0,1.0,6.493297218916812e-14,1.2658645426755646e-35,1.0,6.38374251035781e-42
0.43581007030370333,2.799060656445921e-06,145810824286.55618,355460.3059683967,145810824286.55618,1.690927938493778e-06,1.1869629435395078e-09,2.713656734447704e+39,101318.24660815464,101318246608154.64,833.5274103721241,True,100.0,100000000000.0,2.220446049250313e-16,5.347183644853445e-07,0.0,100000000000.0,0.08942368647331904,0.35,1.0,1.0,5.942958404366726e-13,1.3448401596742515e-35,1.0,6.62666156801459e-42
0.43581007030370333,2.8850545358132313e-06,145810824286.55618,1098656.1389790871,145810824286.55618,1.7428773140197377e-06,1.2148558769791318e-09,2.554297487637618e+39,98298.28668421748,98298286684217.48,808.6827307700164,True,100.0,100000000000.0,0.0,5.511461994538886e-07,0.0,100000000000.0,0.09217099732185598,0.35,1.0,1.0,5.677328753424548e-12,1.428742961114915e-35,1.0,6.94176628462547e-42
0.43581007030370333,2.9736903541008757e-06,145810824286.55618,3458240.9089113004,145810824286.55618,1.7964226993791749e-06,1.2496074791980787e-09,2.404296598213528e+39,95368.3417205417,95368341720541.7,784.5785884278121,True,100.0,100000000000.0,0.0,5.680787370466141e-07,1.1748787963561161e-16,100000000000.0,0.0950027121711242,0.35,1.0,1.0,5.6251091984301227e-11,1.5178803475275924e-35,1.0,7.344592445541555e-42
0.43581007030370333,3.0650492780303726e-06,145810824286.55618,11045561.773088826,145810824286.55618,1.8516131278350073e-06,1.2923635176912178e-09,2.2631044974825753e+39,92525.72867057205,92525728670572.05,761.192910392988,True,100.0,100000000000.0,0.0,5.855314829427141e-07,9.39903037084893e-16,100000000000.0,0.09792142411514633,0.35,1.0,1.0,5.738469628967661e-10,1.6125788977554082e-35,1.0,7.855789709003224e-42
0.43581007030370333,3.159214967960251e-06,145810824286.55618,35650307.845507674,145810824286.55618,1.9084991390699873e-06,1.3445541293596006e-09,2.1302038901237947e+39,89767.84446044672,89767844460446.72,738.5042816343166,True,100.0,100000000000.0,0.0,6.035204191931607e-07,1.0456421287569434e-14,100000000000.0,0.10092980591403355,0.35,0.9999999999999996,1.0,5.977877878316319e-09,1.7131855654641937e-35,1.0,8.503095396980909e-42
0.43581007030370333,3.256273654496588e-06,145810824286.55618,115735718.04875791,145810824286.55618,1.9671328254675488e-06,1.4080152591692582e-09,2.00510785893725e+39,87092.16360527728,87092163605277.28,716.4919254314196,True,100.0,100000000000.0,0.0,6.220620188559933e-07,1.1972014934868824e-13,100000000000.0,0.10403061244151983,0.35,0.9999999999999954,0.9999999999999998,6.30021384448758e-08,1.8200689503007765e-35,1.0,9.324706964764983e-42
0.43581007030370333,3.356314217457194e-06,145810824286.55618,375980672.80301785,145810824286.55618,2.0275678798145043e-06,1.485057336684685e-09,1.887358080891627e+39,84496.23589647948,84496235896479.48,695.1356843488454,True,100.0,100000000000.0,0.0,6.411732610812372e-07,1.35040568853172e-12,100000000000.0,0.10722668320768988,0.35,0.999999999999948,0.9999999999999971,6.648926180174226e-07,1.9336206483571417e-35,1.0,1.0373060554934479e-41
0.43581007030370333,3.4594282672617743e-06,145810824286.55618,1215357744.9554296,145810824286.55618,2.0898596444692916e-06,1.5786899457236678e-09,1.7765231479342583e+39,81977.68415803701,81977684158037.02,674.4160017772443,True,100.0,100000000000.0,0.0,6.608716466592673e-07,1.5043970523701163e-11,100000000000.0,0.11052094495921158,0.35,0.9999999999994172,0.9999999999999709,6.947502882469343e-06,2.054256686888275e-35,1.0,1.1722335742106555e-41
0.43581007030370333,3.56571022882259e-06,145810824286.55618,3885234708.5870624,145810824286.55618,2.1540651620407816e-06,1.69288044534614e-09,1.6721969864114342e+39,79534.20206964361,79534202069643.61,654.3139040247423,True,100.0,100000000000.0,0.0,6.811752140468544e-07,1.6326750188714624e-10,100000000000.0,0.11391641435945368,0.35,0.9999999999936006,0.9999999999996827,7.099945082316535e-05,2.1824190485401558e-35,1.0,1.3479477144937598e-41
0.43581007030370333,3.675257428012441e-06,145810824286.55618,12202203700.898968,145810824286.55618,2.2202432276240635e-06,1.832881849321019e-09,1.5739973693081093e+39,77163.55205472997,77163552054729.97,634.8109829421091,True,100.0,100000000000.0,0.0,7.021025558855714e-07,1.7032041678955163e-09,100000000000.0,0.11741620075094333,0.35,0.9999999999320484,0.9999999999965556,0.0007003207772786156,2.318577290672322e-35,1.0,1.5801176013650009e-41
