source,C_source,scenario,accel_m_s2,h_m,area_model,R_over_h,ell_over_R,B_dimensionless,x_opt_ln_Gamma,Gamma_opt,energy_reduction_factor,E_baseline_J,E_min_J
IDEAL_C1_CONTROL,1.0,ONE_G_ONE_M,9.80665,1.0,SPHERICAL_PRIMARY,2.0,10.0,687356420441856.6,7.274246448132138e-16,1.0000000000000007,1.0000000000000004,1.320554586032904e+28,1.3205545860329034e+28
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,0.25,8.591955255523206e+17,5.819397158505716e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,0.5,4.295977627761603e+17,1.1638794317011431e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,1.0,2.1479888138808016e+17,2.3277588634022863e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,2.0,1.0739944069404008e+17,4.6555177268045726e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,5.0,4.295977627761603e+16,1.1638794317011432e-17,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.25,10.0,2.1479888138808016e+16,2.3277588634022864e-17,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.5,0.25,1.7183910511046413e+18,2.909698579252858e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.5,0.5,8.591955255523206e+17,5.819397158505716e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.5,1.0,4.295977627761603e+17,1.1638794317011431e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.5,2.0,2.1479888138808016e+17,2.3277588634022863e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.5,5.0,8.591955255523206e+16,5.819397158505716e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,0.5,10.0,4.295977627761603e+16,1.1638794317011432e-17,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,1.0,0.25,3.4367821022092826e+18,1.454849289626429e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,1.0,0.5,1.7183910511046413e+18,2.909698579252858e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,1.0,1.0,8.591955255523206e+17,5.819397158505716e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,1.0,2.0,4.295977627761603e+17,1.1638794317011431e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,1.0,5.0,1.7183910511046413e+17,2.909698579252858e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,1.0,10.0,8.591955255523206e+16,5.819397158505716e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,2.0,0.25,6.873564204418565e+18,7.274246448132145e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,2.0,0.5,3.4367821022092826e+18,1.454849289626429e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,2.0,1.0,1.7183910511046413e+18,2.909698579252858e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,2.0,2.0,8.591955255523206e+17,5.819397158505716e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,2.0,5.0,3.4367821022092826e+17,1.454849289626429e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,OPTIMISTIC_DISK,2.0,10.0,1.7183910511046413e+17,2.909698579252858e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.25,0.25,3.4367821022092826e+18,1.454849289626429e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.25,0.5,1.7183910511046413e+18,2.909698579252858e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.25,1.0,8.591955255523206e+17,5.819397158505716e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.25,2.0,4.295977627761603e+17,1.1638794317011431e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.25,5.0,1.7183910511046413e+17,2.909698579252858e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.25,10.0,8.591955255523206e+16,5.819397158505716e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.5,0.25,6.873564204418565e+18,7.274246448132145e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.5,0.5,3.4367821022092826e+18,1.454849289626429e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.5,1.0,1.7183910511046413e+18,2.909698579252858e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.5,2.0,8.591955255523206e+17,5.819397158505716e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.5,5.0,3.4367821022092826e+17,1.454849289626429e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,0.5,10.0,1.7183910511046413e+17,2.909698579252858e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,1.0,0.25,1.374712840883713e+19,3.6371232240660723e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,1.0,0.5,6.873564204418565e+18,7.274246448132145e-20,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,1.0,1.0,3.4367821022092826e+18,1.454849289626429e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,1.0,2.0,1.7183910511046413e+18,2.909698579252858e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,1.0,5.0,6.873564204418565e+17,7.274246448132145e-19,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
IDEAL_C1_CONTROL,1.0,POINT_ONE_G_ONE_CM,0.980665,0.01,SPHERICAL_PRIMARY,1.0,10.0,3.4367821022092826e+17,1.454849289626429e-18,1.0,1.0,1.3205545860329045e+23,1.3205545860329045e+23
