sample_index,g,m_gev,mmax_gev,alpha,kr,epsilon,cs_over_c,ppn_alpha2,frequency_hz,growth_rate_per_s,required_time_s,required_time_years
2470304,0.031401038689293136,970962493780.5839,986025230766.4845,2.5181811752642944,1.1017729460434935,8.979341254848549e-06,0.04982961141983342,3.2472367475972234e-08,26195122.8259749,0.013270560355184391,3.980403391231344e+21,126131372196597.47
2757792,0.029497247542967196,742515048619.4423,870087612611.0844,4.24440638595696,1.3270992490715061,7.3098725295631565e-06,0.06077010300395417,1.4469038178172339e-08,38479924.43040712,0.01291914243299367,4.08867567760657e+21,129562313915081.31
3497632,0.030049080534605442,822896530153.9784,902947240975.2036,9.970040218184367,0.7007173065763718,7.952434120784062e-06,0.09488108508471046,7.024911778588574e-09,31722201.636688877,0.012605014504775483,4.190569032768998e+21,132791119501134.38
5579072,0.04036547420929462,996323374621.6476,1000000000000.0,8.032510941289036,0.7153729003945505,7.167641859166643e-06,0.11440255445529461,3.925374985948766e-09,39048921.23990091,0.012604960909499632,4.190586850730108e+21,132791684118250.7
7058752,0.03983174843511754,897651835521.616,1000000000000.0,2.485308563793397,1.5565222782845962,6.544320940911998e-06,0.06279419951773826,1.086150788653214e-08,46635399.78990908,0.01254945170310089,4.209122811976252e+21,133379053285935.94
4877120,0.04112083577138121,834676002075.573,1000000000000.0,5.268105634662271,1.2639706619255213,5.8944329351197124e-06,0.09438199877373415,3.900369223296706e-09,56920276.17232892,0.012425987962557035,4.2509443595538756e+21,134704298158094.27
9697440,0.028749445957143793,749571929690.0067,826530642842.7317,6.26280756711458,1.0044479610809083,7.571289832768677e-06,0.07194721929408254,1.1074183516349699e-08,34481193.48924276,0.01241943677623789,4.2531867099143235e+21,134775353953225.95
1901440,0.056211238950941565,864146936078.8275,1000000000000.0,5.689251348823081,1.5249992720759578,4.4642702101588965e-06,0.13407589918109608,1.1086628888844746e-09,97557618.29359862,0.012216365120185316,4.3238870909348605e+21,137015713835490.05
4748960,0.029592322944774943,782623201348.933,875705577267.8536,4.088946170673318,1.1528451882817363,7.679973075070527e-06,0.05983905887123777,1.6472134736163226e-08,32915206.214424193,0.012198202637028486,4.3303251317510337e+21,137219723038223.23
6648096,0.03467804503566527,987466625638.8169,1000000000000.0,1.6362704303806954,1.3389349873083924,8.269016463804985e-06,0.04435904087700572,3.4749088615691286e-08,28338866.286190223,0.012175030382801136,4.338566868460107e+21,137480887914800.47
9441760,0.025459556836148853,524687081608.4192,648189034293.0939,8.12683675725764,1.5158347640084662,5.984606064326062e-06,0.07257910490875305,6.799045082314441e-09,52493351.94586815,0.011812866893839279,4.471580346754296e+21,141695830695436.16
6924448,0.028964891201131306,702219150957.6669,838964922293.3737,8.623597241042594,0.9329611554363769,7.040229302527916e-06,0.08505818942854389,6.85080082025416e-09,37863480.29430299,0.011791634465378797,4.479632030352233e+21,141950973152338.34
493280,0.026279646288962445,580835060124.0325,690619809072.9777,9.54325902132342,1.1746495414271845,6.418290120772357e-06,0.08118351878903038,6.250329978077981e-09,45500589.07894682,0.011777024438144094,4.48518925291797e+21,142127070909003.53
644928,0.04197686901246716,855353624196.4984,1000000000000.0,6.94840421352228,0.9811485734339263,5.9172741983513136e-06,0.1106502958875977,2.8598169081277783e-09,51799812.87884615,0.011395973954413016,4.635161825800869e+21,146879414968212.7
2513120,0.027684924067908085,672522679869.4207,766455020645.8364,3.5975782896657376,1.4402019670847,7.0542303128858796e-06,0.0525107792947653,1.804688880751495e-08,36083835.79957995,0.011282149125776802,4.681925655514614e+21,148361271310702.16
1898272,0.0359988075186167,904211030416.2677,1000000000000.0,2.3941871649310746,1.249256588075406,7.294032978068132e-06,0.05570153505325825,1.7147512075273987e-08,33201648.45318428,0.01109877277778903,4.759281453804014e+21,150812528639820.97
792608,0.03735045948432334,990559565888.155,1000000000000.0,8.06055704017157,0.5867612437702081,7.701417794612869e-06,0.10604213832702311,5.274537871329692e-09,29687985.669319686,0.011063740179765854,4.774351402242897e+21,151290066489305.2
1266208,0.038181982708444376,832654504917.6991,1000000000000.0,5.213452046080532,1.0365369058220189,6.33275076511762e-06,0.08718086389345413,5.276457637157198e-09,43116824.93720894,0.010864542246460182,4.86188761965801e+21,154063921833663.22
6871928,0.09205368256529226,945361789684.1262,1000000000000.0,9.764314360848019,1.3905310475852237,2.9822422206289976e-06,0.28764845350185275,1.0748843552390577e-10,190846222.49966255,0.010664715277234426,4.952985810514205e+21,156950649305213.5
6963680,0.025529224161698567,603962986734.8341,651741286298.2539,5.905778580796835,1.2109317095115166,6.870031748099921e-06,0.06204062966040514,1.2262106797885743e-08,35845668.42823424,0.01063001897426118,4.969152319409429e+21,157462935058731.62
8837312,0.046404524182306,852119448373.5798,1000000000000.0,3.3231911540713317,1.4735807524700122,5.332442612147541e-06,0.08459369312865335,3.973529206772899e-09,59477507.482236035,0.010626371850660421,4.970857803929883e+21,157516978601981.22
6557760,0.043993398562331636,961708698072.7227,1000000000000.0,4.3026717497775335,0.9549383102173841,6.348075266695622e-06,0.09125498977390645,4.839170157092212e-09,41578878.6006945,0.01052777937725827,5.017409802053865e+21,158992122406452.5
8701216,0.03340459377505514,817616607510.4867,1000000000000.0,4.424951784928358,0.9891532920113929,7.107707483021738e-06,0.07026846494336587,1.0231472938172285e-08,33163846.89483969,0.010526981560150995,5.017790060663745e+21,159004172074674.4
9870240,0.03336066119245879,744415963534.9246,1000000000000.0,7.5317170516634,0.9085978524859517,6.479881514167597e-06,0.09155491160924197,5.009228400743865e-09,39691196.248486824,0.010471482860281699,5.044384271655598e+21,159846891767929.06
7417888,0.03715680675849564,827584342553.7611,1000000000000.0,3.512766434060573,1.193640974062821,6.467849685662883e-06,0.06964068286219571,8.625688981299467e-09,39662270.66189425,0.010425029168557406,5.066861932687101e+21,160559165864549.3
2851872,0.0366633289868918,645319380183.9989,1000000000000.0,9.731957037300214,1.1592589454730533,5.111270304260661e-06,0.11437523182777608,1.9970720008873558e-09,63263509.10881448,0.010384625606548424,5.086575620791484e+21,161183854944339.34
7283424,0.027046330461868422,532896680181.91266,731503991452.5918,7.988724103369945,1.3640769099398031,5.721642269637519e-06,0.07644464381522967,5.602053854600482e-09,49753857.00027747,0.010234061545826421,5.161409593325901e+21,163555200437482.6
1096544,0.022541211719226392,474801895848.9469,508106225770.98926,6.697442465908287,1.5609208549953775,6.116756932445031e-06,0.05833534274814612,1.099458744905675e-08,43446367.51532857,0.01021352804352025,5.171786205142705e+21,163884015423945.6
5179456,0.04349575185368709,651751626019.3475,1000000000000.0,7.2168894462439885,1.5351132275338761,4.351322953294754e-06,0.11684815746788081,1.386752310534007e-09,85586076.38596691,0.01018182481974707,5.187889634367954e+21,164394302303342.28
6245152,0.03521731889322851,979607686708.7781,1000000000000.0,2.869355301353862,0.8694752247613461,8.077592331864155e-06,0.059655220347372216,1.8334410617880014e-08,24748364.300055996,0.010145891895856405,5.206263183514584e+21,164976524942156.06
2751968,0.026102401660001093,651389858508.349,681335372420.0278,7.795999916461856,0.8793805508052537,7.246804763357383e-06,0.07288134539228878,9.886904973054498e-09,30579759.94561701,0.010090369324853521,5.234910808587573e+21,165884313401132.3
2281280,0.042458006369105995,735283129078.7267,1000000000000.0,4.431402180420593,1.4677584679521247,5.028993103464762e-06,0.08937790720344337,3.165932982659431e-09,62592977.42517795,0.009946437523601578,5.310663573362437e+21,168284773663473.7
8496672,0.038702730011920164,683556919863.155,1000000000000.0,8.532357292084562,1.1143327201020794,5.128839639361529e-06,0.11305144478541597,2.0581925741728147e-09,60107938.64037287,0.00993458988838358,5.316996880070575e+21,168485464042594.34
1006848,0.0722964499887863,785787553534.4606,1000000000000.0,9.91542984959431,1.4547645336284067,3.1562704528146705e-06,0.22765266859680552,1.92221927719031e-10,158017899.6021821,0.009890871795188733,5.34049824273435e+21,169230177286433.4
68768,0.029163080426391323,626812918241.5693,850485259956.1687,7.121189753856899,1.0866200353442805,6.241523061448762e-06,0.07782330575586115,6.4322336191385284e-09,40348576.52418164,0.009876185648656579,5.34843970338907e+21,169481826989031.8
772768,0.03021731669256083,749417594765.9749,913086228098.5154,2.0021807566601786,1.4824939612466963,7.202015066945193e-06,0.04275703070812389,2.8372197597620765e-08,30244144.563039437,0.009856647489635727,5.359041550066466e+21,169817779237536.0
7548352,0.05111258165734844,859609202118.6636,1000000000000.0,6.470907969374051,1.0484353723144815,4.883815795967311e-06,0.1300200800252092,1.4109047396395939e-09,65041856.42631528,0.009747457429799822,5.419073006651845e+21,171720061305417.56
5606688,0.033983308741547216,706643547573.9325,1000000000000.0,5.053540212040257,1.166854041363922,6.0383846325895745e-06,0.07639475176017915,6.247618445136683e-09,42532498.298633136,0.009744112919501158,5.42093301644747e+21,171779001459156.28
5780928,0.051828266741563774,739103815127.0653,1000000000000.0,9.107468450660697,1.2057133094798704,4.1411865555574e-06,0.15641036265613056,7.010008503985552e-10,89980916.53716637,0.009695715681376909,5.447992203687928e+21,172636455360608.16
8591264,0.03242848649425522,986853778714.0784,1000000000000.0,3.9615995475294414,0.6381142032166167,8.837148750990412e-06,0.06454490506935234,1.8745645415978715e-08,19651749.16973011,0.009642850003196842,5.477860116439054e+21,173582912402687.6
