radius_m,radius_mpc,radial_eigenvalue_s-2,transverse_eigenvalue_s-2,tidal_trace_s-2
1.638044706448550396e+21,5.308541359842437052e-02,6.039500376551822159e-32,-3.019259957543929093e-32,9.804614639639725839e-36
1.639554398448154575e+21,5.313433938408194251e-02,6.022833227041116006e-32,-3.010926382788576017e-32,9.804614639639725839e-36
1.641065481844419985e+21,5.318331026183434340e-02,6.006212076187371179e-32,-3.002615807361703603e-32,9.804614639639725839e-36
1.642577957919715230e+21,5.323232627324030880e-02,5.989636797041702735e-32,-2.994328167788869381e-32,9.804614639639725839e-36
1.644091827957593539e+21,5.328138745989697417e-02,5.973107263005551444e-32,-2.986063400770793736e-32,9.804614639639725839e-36
1.645607093242791461e+21,5.333049386343980541e-02,5.956623347829745573e-32,-2.977821443182890800e-32,9.804614639639725839e-36
1.647123755061226766e+21,5.337964552554257114e-02,5.940184925613575808e-32,-2.969602232074805918e-32,9.804614639639725839e-36
1.648641814700006048e+21,5.342884248791754387e-02,5.923791870803754141e-32,-2.961405704669895084e-32,9.804614639639725839e-36
1.650161273447418429e+21,5.347808479231533352e-02,5.907444058193545713e-32,-2.953231798364790870e-32,9.804614639639725839e-36
1.651682132592942907e+21,5.352737248052510943e-02,5.891141362921730981e-32,-2.945080450728883504e-32,9.804614639639725839e-36
1.653204393427247301e+21,5.357670559437457264e-02,5.874883660471689402e-32,-2.936951599503862715e-32,9.804614639639725839e-36
1.654728057242186154e+21,5.362608417572986563e-02,5.858670826670474353e-32,-2.928845182603255190e-32,9.804614639639725839e-36
1.656253125330808078e+21,5.367550826649584994e-02,5.842502737687799384e-32,-2.920761138111917706e-32,9.804614639639725839e-36
1.657779598987349983e+21,5.372497790861588407e-02,5.826379270035166780e-32,-2.912699404285601404e-32,9.804614639639725839e-36
1.659307479507243893e+21,5.377449314407206638e-02,5.810300300564864762e-32,-2.904659919550450395e-32,9.804614639639725839e-36
1.660836768187116683e+21,5.382405401488519342e-02,5.794265706469034744e-32,-2.896642622502535386e-32,9.804614639639725839e-36
1.662367466324786414e+21,5.387366056311471141e-02,5.778275365278793334e-32,-2.888647451907414681e-32,9.804614639639725839e-36
1.663899575219270975e+21,5.392331283085889659e-02,5.762329154863212012e-32,-2.880674346699624020e-32,9.804614639639725839e-36
