mu,z_m,rho_m,axial_accel_mps2
-0.74,0.12599999700712056,0.06726068688320096,80.16682039579973
-0.738,0.12619999700712056,0.06748007113214982,79.66799708009205
-0.736,0.12639999700712057,0.06769815359372809,79.17449495146178
-0.734,0.12659999700712055,0.0679149468084898,78.68623546453624
-0.732,0.12679999700712058,0.06813046308370434,78.2031415434733
-0.73,0.12699999700712056,0.06834471449936712,77.72513754878831
-0.728,0.12719999700712056,0.06855771291401136,77.2521492450552
-0.726,0.12739999700712057,0.06876946997032914,76.78410376945745
-0.724,0.12759999700712055,0.06897999710060881,76.32092960116162
-0.722,0.12779999700712058,0.06918930553199679,75.86255653148933
-0.72,0.12799999700712056,0.0693974062915899,75.40891563486512
-0.718,0.12819999700712056,0.06960431021136551,74.95993924051483
-0.716,0.12839999700712057,0.06981002793295531,74.51556090489461
-0.714,0.12859999700712055,0.07001456991226898,74.0757153848276
-0.712,0.12879999700712058,0.07021794642397342,73.64033861132785
-0.71,0.12899999700712056,0.07042016756583301,73.20936766409217
-0.708,0.12919999700712057,0.0706212432629163,72.78274074663848
-0.706,0.12939999700712057,0.07082118327167375,72.36039716207468
-0.704,0.12959999700712055,0.07101999718389182,71.94227728947735
-0.702,0.12979999700712058,0.0712176944305276,71.52832256086359
-0.7,0.12999999700712056,0.0714142842854285,71.11847543874019
-0.698,0.13019999700712057,0.07160977586894125,70.7126793942108
-0.696,0.13039999700712057,0.07180417815141402,70.31087888562854
-0.694,0.13059999700712055,0.07199749995659573,69.91301933777576
-0.692,0.13079999700712058,0.07218974996493616,69.51904712155765
-0.69,0.13099999700712056,0.07238093671679029,69.12890953419502
-0.688,0.13119999700712057,0.07257106861553025,68.74255477990116
-0.6859999999999999,0.13139999700712057,0.07276015393056835,68.35993195103116
-0.6839999999999999,0.13159999700712055,0.0729482008002939,67.98099100968848
-0.6819999999999999,0.13179999700712058,0.07313521723492726,67.60568276977715
-0.6799999999999999,0.13199999700712056,0.07332121111929345,67.23395887948774
-0.6779999999999999,0.13219999700712057,0.07350619021551859,66.86577180420377
-0.6759999999999999,0.13239999700712057,0.0736901621656514,66.50107480981784
-0.6739999999999999,0.13259999700712055,0.07387313449421244,66.13982194644662
-0.672,0.13279999700712056,0.07405511461067359,65.78196803253269
-0.67,0.13299999700712056,0.07423610981186986,65.42746863932392
