N,direction,direction_x,direction_y,direction_z,standoff_factor,d,payload_radius,mu_h,fp_center,gr_center,fp_cancellation,C_FP_center_alpha1,tail_energy_fraction
73,FIB_06,-0.23073121154526574,0.8583086062567528,0.45833333333333337,2.0,3.9063249030603386,0.39063249030603386,2.0,-99.41685711766634,-121.08960721284578,1.005416265938446,inf,6.153804668304748e-15
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.12,2.18754194571379,0.218754194571379,0.03,-758.6886828749402,-386.37104651852576,1.0055271515332453,inf,8.006649669044583e-07
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.12,2.18754194571379,0.218754194571379,0.1,-755.6327219989846,-386.37104651852576,1.0055262679730403,inf,8.006649669044583e-07
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.12,2.18754194571379,0.218754194571379,0.25,-739.9729771105403,-386.37104651852576,1.005521186140578,inf,8.006649669044583e-07
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.12,2.18754194571379,0.218754194571379,0.5,-694.5759463999937,-386.37104651852576,1.0055031463595623,inf,8.006649669044583e-07
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.12,2.18754194571379,0.218754194571379,1.0,-571.563008360145,-386.37104651852576,1.0054321187156057,inf,8.006649669044583e-07
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.12,2.18754194571379,0.218754194571379,2.0,-337.81670556894323,-386.37104651852576,1.0051626662996216,inf,8.006649669044583e-07
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.25,2.4414530644127117,0.2441453064412712,0.03,-608.9347045321191,-310.09610394077754,1.0055297720642598,inf,3.1718832534717375e-08
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.25,2.4414530644127117,0.2441453064412712,0.1,-606.4561935086417,-310.09610394077754,1.0055290683725873,inf,3.1718832534717375e-08
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.25,2.4414530644127117,0.2441453064412712,0.25,-593.7428810908166,-310.09610394077754,1.0055250171649506,inf,3.1718832534717375e-08
73,FIB_07,-0.4272722474213815,-0.8226867122930099,0.375,1.25,2.4414530644127117,0.2441453064412712,0.5,-556.8328172859924,-310.09610394077754,1.0055106124059228,inf,3.1718832534717375e-08
