bin,radius_mid,int_S,int_K,int_SK,radialized_force,covariance_force
40,2.7672893276102406,-1.9726962912081438e-08,7.446538711139428e-06,2.4129737531801287e-13,-2.1892914932653986e-14,2.6319029025066687e-13
41,2.8356174591561727,-7.872176879852502e-09,-6.65092178575577e-06,8.176316495677575e-14,7.549607596744847e-15,7.421355736003091e-14
42,2.9039455907021043,-3.1015036996774807e-09,-6.25579124591269e-06,1.2832696793155263e-14,2.7157922607136492e-15,1.0116904532441614e-14
43,2.9722737222480364,-1.2207095598165956e-09,6.167355266054053e-06,4.6013048415625875e-15,-9.997477235627029e-16,5.60105256512529e-15
44,3.040601853793968,-4.861354872751212e-10,-5.226550177039879e-06,7.583844370742354e-15,3.286275902522022e-16,7.255216780490153e-15
45,3.1089299853399,-2.054351171789163e-10,1.180425471078439e-06,8.379759481596816e-17,-2.846244842547205e-17,1.122600432414402e-16
46,3.177258116885832,-7.751599555012182e-11,8.774609953979273e-06,2.0503225794786482e-16,-7.713714416235563e-17,2.8216940211022044e-16
47,3.245586248431764,-3.0407624587094425e-11,-2.1444549440266525e-05,1.1770255184629646e-15,7.361512644319164e-17,1.1034103920197729e-15
48,3.3139143799776956,-1.134906503380518e-11,-4.7181207105728706e-05,1.962320819419847e-16,6.525051163542244e-17,1.3098157030656227e-16
49,3.3822425115236276,-4.6795167547156815e-12,-6.53171584643758e-05,1.193929974798663e-18,3.5242319928681257e-17,-3.4048389953882594e-17
50,3.4505706430695593,-1.6955394035465227e-12,-7.060903820194087e-05,2.6642935934499695e-16,1.530935446136358e-17,2.511200048836334e-16
51,3.5188987746154914,-6.632104365122014e-13,-7.759480292730825e-05,4.470474338034397e-17,6.683854836249678e-18,3.8020888544094293e-17
52,3.587226906161423,-2.3022845827321717e-13,-7.707311038181175e-05,6.544905376213966e-17,2.384378070651452e-18,6.306467569148821e-17
53,3.655555037707355,-1.0231981477081094e-13,-7.715015492792965e-05,7.409817830430384e-17,1.0902070821240285e-18,7.300797122217981e-17
54,3.7238831692532868,-4.5821669626222345e-14,-7.647959884557465e-05,3.489096980856006e-17,4.916292906776413e-19,3.439934051788242e-17
55,3.792211300799219,-3.627870592645612e-14,-6.584228739314746e-05,2.345325972387913e-17,3.7630037808558786e-19,2.3076959345793543e-17
56,3.8605394323451505,-4.479443037432875e-14,-6.559188119930476e-05,2.280475909401704e-17,4.576423155151436e-19,2.2347116778501897e-17
57,3.9288675638910826,-3.987618993346184e-14,-5.83408762869983e-05,1.1695725618078143e-17,3.9611264305418504e-19,1.1299612975023957e-17
58,3.9971956954370143,-4.496019860424627e-14,-5.501462041421906e-05,1.4314337344701083e-17,4.2878752998039193e-19,1.388554981472069e-17
59,4.065523826982947,-5.124273635710693e-14,-4.55878223348527e-05,1.4817412719576657e-17,4.645752863808581e-19,1.43528374331958e-17
60,4.1338519585288775,-6.02265272851372e-14,-4.22679534507614e-05,1.5284126844019135e-17,5.22133284318904e-19,1.476199355970023e-17
61,4.20218009007481,-5.780101131239868e-14,-3.6803411659312724e-05,1.6759673822005014e-17,4.816217957671465e-19,1.6278052026237867e-17
62,4.270508221620743,-5.2076540023087714e-14,-3.135315798184074e-05,1.4690542469196312e-17,4.116531603962355e-19,1.4278889308800075e-17
