candidate_pass,g_s,gate_energy_fraction,gate_gradient_floor_J,gate_radius_m,gate_total_positive_floor_J,gate_volume_energy_J,lambda_on_max,lambda_s,lambda_width_min,m_s_out_eV,naive_naturalness_cutoff_eV,naturalness_cutoff_over_mX,off_phi_mass_eV,off_phi_range_m,on_curvature_ratio,phi_boundary_eV,required_delta_m2_hat,source_scale_naturalness_pass,v_s_eV,wall_cap_m,wall_width_actual_m
True,0.5105468290777841,2.677561738599675e-32,1.8959765860766146e-21,2.0980500914943576,3.2546723378765307e-21,1.3586957517999161e-21,6.398771689447105e+29,0.01587849713777119,0.01512237822644875,8.087999411817098e-07,1.9907438916269877e-05,3.3292228103081336,2.3179366180618384e-06,0.08513044699427397,4.835801499797564e+31,7789772293.110485,0.1501650749306419,True,4.538594846097602e-06,0.25,0.2439750182371333
True,0.5554251677841955,2.2623487299233788e-32,1.6019650115400005e-21,2.0980500914943576,2.7499660320671335e-21,1.1480010205271328e-21,8.96306408108137e+29,0.018792706818457877,0.01789781601757893,8.087999411817099e-07,1.8298918384105807e-05,3.06022169624956,2.3179366180618384e-06,0.08513044699427397,5.723325011771908e+31,7789772293.110485,0.1501650749306419,True,4.171876503882544e-06,0.25,0.24397501823713327
True,0.6042484243127103,1.911523346782912e-32,1.353546197270736e-21,2.0980500914943576,2.3235251946919442e-21,9.699789974212085e-22,1.2554990492013105e+30,0.022241766742799294,0.021182634993142185,8.087999411817098e-07,1.6820366267933143e-05,2.812955865014563,2.3179366180618384e-06,0.08513044699427397,6.773737340489507e+31,7789772293.110485,0.1501650749306419,True,3.834788993913415e-06,0.25,0.2439750182371333
True,0.6573633667717687,1.61510091568416e-32,1.143650014169066e-21,2.0980500914943576,1.9632130969668795e-21,8.195630827978133e-22,1.7586372788213087e+30,0.026323838956249287,0.02507032281547551,8.087999411817098e-07,1.5461281123214788e-05,2.5856691063321415,2.3179366180618384e-06,0.08513044699427397,8.016933769018402e+31,7789772293.110485,0.1501650749306419,True,3.5249381457369925e-06,0.25,0.2439750182371333
True,0.7151472450507887,1.36464509954011e-32,9.663027073225874e-22,2.0980500914943576,1.6587750685497862e-21,6.924723612271989e-22,2.4634069459690262e+30,0.031155101364368273,0.029671525108922164,8.087999411817097e-07,1.4212010021851449e-05,2.3767471116742325,2.3179366180618384e-06,0.08513044699427397,9.488296316518089e+31,7789772293.110485,0.1501650749306419,True,3.24012323780866e-06,0.25,0.24397501823713333
True,0.7780104702446848,1.153027795114574e-32,8.164568798238361e-22,2.0980500914943576,1.401546644270766e-21,5.850897644469298e-22,3.450611365133608e+30,0.036873054216646946,0.03511719449204471,8.087999411817099e-07,1.3063679992076178e-05,2.18470600859868,2.3179366180618384e-06,0.08513044699427397,1.1229700728970066e+32,7789772293.110485,0.1501650749306419,True,2.9783213668257632e-06,0.25,0.24397501823713327
True,0.846399529606477,9.742262634840469e-33,6.8984784122015095e-22,2.0980500914943576,1.1842069689315977e-21,4.9435912771144675e-22,4.8334355850837666e+30,0.04364043343536567,0.04156231755749112,8.087999411817098e-07,1.2008134998003535e-05,2.008181821516976,2.3179366180618384e-06,0.08513044699427397,1.3290708284762753e+32,7789772293.110485,0.1501650749306419,True,2.7376730800184186e-06,0.25,0.2439750182371333
True,0.9208001577315016,8.231517197447751e-33,5.828722321977172e-22,2.0980500914943576,1.0005704419461634e-21,4.1769820974844607e-22,6.770423291134513e+30,0.05164984216487197,0.04919032587130664,8.087999411817097e-07,1.1037878011229573e-05,1.8459207840317002,2.3179366180618384e-06,0.08513044699427397,1.57299763345396e+32,7789772293.110485,0.1501650749306419,True,2.51646916835083e-06,0.25,0.24397501823713333
True,1.0017407864966161,6.955045035386444e-33,4.9248547109496335e-22,2.0980500914943576,8.454106719196045e-22,3.529252008246412e-22,9.483654169840833e+30,0.06112923235758495,0.058218316531033286,8.087999411817097e-07,1.0146017763044928e-05,1.696770434036818,2.3179366180618384e-06,0.08513044699427397,1.8616927720010723e+32,7789772293.110485,0.1501650749306419,True,2.3131385268315938e-06,0.25,0.24397501823713333
True,1.089796298257657,5.8765170847546956e-33,4.1611510351955786e-22,2.0980500914943576,7.143117308216627e-22,2.981966273021048e-22,1.3284205808949884e+31,0.07234839240552518,0.06890323086240493,8.087999411817097e-07,9.326219799067714e-06,1.5596714283336521,2.3179366180618384e-06,0.08513044699427397,2.20337265842585e+32,7789772293.110485,0.1501650749306419,True,2.12623699571061e-06,0.25,0.24397501823713333
