stage,grid_spacing_m,portal_scale_ev,portal_scale_kev,density_model,z_max,unit_source_payload_acceleration_min_m_s2,unit_source_payload_acceleration_max_m_s2,whole_payload_outward_sign,normalizable_to_whole_payload_1g,canonical_field_energy_j,payload_interaction_energy_j,loaded_quadratic_capacity_j,source_work_j,source_work_relative_error,integrated_canonical_source_ev_m,integrated_source_ratio_vs_a12c,payload_sigma_max,exact_payload_conformal_shift_j,strict_whole_payload_1g_pass,loaded_capacity_below_100j,loaded_capacity_below_10kj,loaded_capacity_below_1mj,loaded_capacity_strictly_below_10mj,complete_energy_established
PRODUCTION_H0P050,0.05,17000.0,17.0,OPTIMISTIC_FLAT_C1,1.2273354458351036,5.085633574076894e-19,1.0170549066433372e-17,True,True,1324094.8667208732,42.741397611796856,1324137.608118485,1324137.608118495,7.560934464615356e-15,14446640773.86593,705.9537113834292,7.372267797630451e-16,42.7404564944256,True,False,False,False,True,False
PRODUCTION_H0P050,0.05,18000.0,18.0,OPTIMISTIC_FLAT_C1,1.1808726163274814,9.257107929198278e-19,7.638355734919721e-18,True,True,727435.1152444927,19.274546543718316,727454.3897910364,727454.3897910421,7.841523605567078e-15,10707836790.715347,523.2522384697373,3.2676154815194865e-16,19.277287256568925,True,False,False,True,True,False
PRODUCTION_H0P050,0.05,19000.0,19.0,OPTIMISTIC_FLAT_C1,1.1456962712962124,1.0016144462782588e-18,5.876409476869091e-18,True,True,672315.7501444765,14.700668714940548,672330.4508131915,672330.4508131958,6.406621777113885e-15,10294117397.39015,503.0353073671398,2.4706512865814965e-16,14.704314537815534,True,False,False,True,True,False
PRODUCTION_H0P050,0.05,20000.0,20.0,OPTIMISTIC_FLAT_C1,1.1186705235724606,9.707951566703134e-19,4.605625295627414e-18,True,True,693664.799090825,12.589789035730064,693677.3888798608,693677.3888798661,7.719877986345121e-15,10456241521.726925,510.9577115489742,2.1014968462351774e-16,12.593787836090042,True,False,False,True,True,False
PRODUCTION_H0P050,0.05,21000.0,21.0,OPTIMISTIC_FLAT_C1,1.0976305334279117,9.019326396131208e-19,3.6692434217206476e-18,True,True,746630.7311466347,11.316180123365484,746642.047326758,746642.0473267625,5.924903700859367e-15,10848066899.396793,530.1047633729974,1.878716612682349e-16,11.320303476521053,True,False,False,True,True,False
ONE_KEV_RESOLUTION_AUDIT,0.1,1000.0,1.0,OPTIMISTIC_FLAT_C1,18988.283771593688,-7.368953557783751e-13,1.8855476308741153e-12,False,False,,,,,,,,,,False,False,False,False,False,False
ONE_KEV_RESOLUTION_AUDIT,0.075,1000.0,1.0,OPTIMISTIC_FLAT_C1,18988.283771593688,-1.2073277734253646e-12,2.4327660305914207e-12,False,False,,,,,,,,,,False,False,False,False,False,False
ONE_KEV_RESOLUTION_AUDIT,0.05,1000.0,1.0,OPTIMISTIC_FLAT_C1,18988.283771593688,-2.721643768828063e-12,5.074439196810162e-12,False,False,,,,,,,,,,False,False,False,False,False,False
CONVERGENCE_COARSE_SAME_SCALE,0.075,19000.0,19.0,OPTIMISTIC_FLAT_C1,1.1456962712962124,1.2811178069639272e-18,5.484018163562185e-18,True,True,525993.6503761885,11.56673500186298,526005.2171111903,526005.2171111898,8.852788378509653e-16,9102173536.598011,444.7894351634711,1.802780996735876e-16,11.57451098589932,True,False,False,True,True,False
CONVERGENCE_LARGER_DOMAIN,0.075,19000.0,19.0,OPTIMISTIC_FLAT_C1,1.1456962712962124,1.1962687222975797e-18,5.631220010725686e-18,True,True,563584.7354315576,12.562997175729834,563597.2984287334,563597.298428733,6.196728878127624e-16,9419460572.237032,460.29407488486663,2.0684871717891247e-16,12.571264056315544,True,False,False,True,True,False
ROBUSTNESS_POLYNOMIAL_C1,0.075,19000.0,19.0,POLYNOMIAL_C1,1.2422322699944919,1.0745015313404981e-18,5.6141549376247915e-18,True,True,627137.5942910518,13.506007325020619,627151.1002983769,627151.1002983765,5.568769078371149e-16,9938849761.466303,485.6746966867275,2.1340531942960434e-16,13.511042869436839,True,False,False,True,True,False
