success,message,alpha_m,alpha_x,leakage_fraction,family,E_field_J,E_core_J,E_total_J,a_scalar_mps2,a_gr_mps2,a_total_mps2,Qabs_kg,Qnet_kg,monopole_fraction,dipole_normalized,cancellation,productive_participation,F50_core_fraction,F90_core_fraction,halfspace_floor_J,field_over_halfspace_floor,iterations
True,Optimization terminated successfully,1.0,5623413251903491.0,0.1,front_rear,3914179986548.579,4360898211241.6797,8275078197790.259,9.806649999965098,-1.4062443463523667e-15,9.806649999965096,272856650748.4882,-27285665074.69237,0.09999999999942663,0.252968635921954,1.612761359428634,0.5499999999997132,0.40688743154917517,0.5270053867631693,958922893780.8939,4.081850597096014,13
True,Optimization terminated successfully,1.0,1e+16,0.1,front_rear,3786612652575.6543,2544145183195.6943,6330757835771.349,9.806649999995905,-8.094742979688224e-16,9.806649999995905,283074328069.1233,-28307432806.888252,0.09999999999991495,0.24216131021085988,1.6508681312561586,0.5499999999999575,0.36071273757426275,0.5304135646251895,958922893786.919,3.9488186976345907,14
True,Optimization terminated successfully,1.0,1.7782794100389228e+16,0.1,front_rear,3686450502888.083,1506544187855.212,5192994690743.295,9.806649999994029,-4.685279001966617e-16,9.806649999994029,298085237555.1365,-29808523755.453854,0.0999999999997994,0.2332889022991683,1.6992010889528435,0.5499999999998763,0.31957145009078336,0.48871214389417067,958922893786.552,3.8443659305402456,16
True,Optimization terminated successfully,1.0,3.162277660168379e+16,0.1,front_rear,3640512020242.0645,880610686430.4247,4521122706672.489,9.806650000001925,-2.703326322854149e-16,9.806650000001925,309843611128.7129,-30984361112.917927,0.10000000000015052,0.2254404205762395,1.7434431613048342,0.5500000000000663,0.3430252781337901,0.5345389454741658,958922893788.0962,3.7964595942231707,21
True,Optimization terminated successfully,1.0,5.623413251903491e+16,0.1,front_rear,2841172427187.7573,1093931223365.9219,3935103650553.679,9.806650000013478,-2.8990663305600936e-16,9.806650000013478,684460850261.0145,-68446085026.29448,0.10000000000028202,0.010781013635934656,1.4673103810603483,0.228037143615804,0.13550844883160448,0.22211077053412667,958922893790.3556,2.962878919239682,19
True,Optimization terminated successfully,1.0,1e+17,0.1,front_rear,2525524712269.9414,843192062755.4755,3368716775025.417,9.806649999993223,-2.1221427279249076e-16,9.806649999993223,938177695888.846,-93817769588.77805,0.09999999999988643,0.06183792566694023,1.2928340962230116,0.15856342494562792,0.08878172649067052,0.14847436577772,958922893786.3943,2.6337098932925436,21
True,Optimization terminated successfully,1.0,1.778279410038923e+17,0.1,front_rear,2423393444201.108,547682953437.1453,2971076397638.2534,9.806649999993548,-1.3511230331722767e-16,9.806649999993548,1083646962341.2078,-108364696234.0161,0.0999999999999034,0.07982329882771923,1.1976638647473938,0.13418419040840576,0.07176801573804187,0.12094855695324429,958922893786.4578,2.5272036572533563,20
True,Optimization terminated successfully,1.0,3.1622776601683795e+17,0.1,front_rear,2391096838654.8066,331234109557.6602,2722330948212.467,9.806649999994706,-8.096662456189216e-17,9.806649999994706,1165450002093.0398,-116545000209.21579,0.09999999999992433,0.08796487265985556,1.1441453631095406,0.1231481899899042,0.06406605593417428,0.10848853952220074,958922893786.6843,2.4935235712358685,20
True,Optimization terminated successfully,1.0,5.6234132519034906e+17,0.1,front_rear,2380883700169.8423,193618754168.09363,2574502454337.936,9.806650000012132,-4.7106413663677245e-17,9.806650000012132,1211451453927.8494,-121145145392.99376,0.10000000000017237,0.09206025192551986,1.1140501035757773,0.1175969332401152,0.0601920515093397,0.10222062978547612,958922893790.0923,2.4828729354448145,20
True,Optimization terminated successfully,1.0,1e+18,0.1,front_rear,2377654071973.758,111204727979.98274,2488858799953.7407,9.806650000004147,-2.698756555030405e-17,9.806650000004147,1237319468203.552,-123731946820.42499,0.1000000000000564,0.09422954632175494,1.0971263550272812,0.11465652431929653,0.058140053711674265,0.09890076384294763,958922893788.5308,2.4795049605918544,22
False,Positive directional derivative for linesearch,1.0,100000000000000.0,0.01,unrestricted,9579374928662.25,230312905902514.44,239892280831176.7,9.806649855520925,-7.719419179652806e-14,9.806649855520849,256257667662.30444,-2562575793.4609985,0.009999996553617092,0.4170000051069129,1.5743234016470864,0.5049999982768086,0.2936232813542941,0.5049999982768086,958922865532.5476,9.989724171758326,12
True,Optimization terminated successfully,1.0,177827941003892.28,0.01,unrestricted,8037150148813.568,130624667405568.44,138661817554382.0,9.806649995481843,-4.354523174751058e-14,9.806649995481798,258454317689.69577,-2584543147.9424067,0.009999999887970333,0.41700000016600763,1.5792465124715924,0.5049999999439853,0.3686092463862277,0.5049999999439853,958922892904.1226,8.381435262717373,12
True,Optimization terminated successfully,1.0,316227766016837.94,0.01,unrestricted,7549455768525.258,73806725118920.17,81356180887445.44,9.806649994106195,-2.453021034361711e-14,9.80664999410617,259689583476.76498,-2596895794.9206514,0.009999999846559119,0.41700000022737144,1.5820149840255773,0.5049999999232795,0.41021968856251956,0.5049999999232795,958922892635.0928,7.872849659245873,9
True,Optimization terminated successfully,1.0,562341325190349.06,0.01,unrestricted,7395233272012.382,41615591778106.63,49010825050119.016,9.806649999384998,-1.3807925712843892e-14,9.806649999384984,260384224566.83203,-2603842241.2326713,0.009999999982964986,0.41700000002524273,1.5835718097367562,0.5049999999914825,0.4334455297530254,0.5049999999914825,958922893667.4464,7.712020769187144,3
True,Optimization terminated successfully,1.0,1000000000000000.0,0.01,unrestricted,6211027561708.669,24342399848588.234,30553427410296.902,9.80664999982013,-7.88907205793452e-15,9.806649999820124,270845725560.1129,-2708457254.4148417,0.009999999995620061,0.41700000000602006,1.6089229365935072,0.5049999999979687,0.3369070015197852,0.5049999999973361,958922893752.5433,6.477087576252473,12
True,Optimization terminated successfully,1.0,1778279410038922.8,0.01,unrestricted,5518318431930.256,14187397937644.408,19705716369574.664,9.806650000038092,-4.522539349071983e-15,9.806650000038086,280712236562.5843,-2807122366.05749,0.010000000001537685,0.41699999999445003,1.6401806132449428,0.5050000000027929,0.2567640718766868,0.46786382078884187,958922893795.1691,5.754705062979753,8
True,Optimization terminated successfully,1.0,3162277660168379.5,0.01,unrestricted,5202720543217.08,8215055415586.389,13417775958803.469,9.80664999993131,-2.608321041940058e-15,9.806649999931308,289047416163.6104,-2890474161.0796676,0.009999999998074929,0.4051155273170888,1.6821718653207196,0.5049999999993414,0.4752599306279094,0.4752599306279094,958922893774.2863,5.425587997737084,16
True,Optimization terminated successfully,1.0,5623413251903491.0,0.01,unrestricted,4776091403520.964,4942078571989.901,9718169975510.865,9.806649999968185,-1.5364611614008824e-15,9.806649999968183,309220472840.4066,-3092204728.1461535,0.009999999999165926,0.38398445325885294,1.76210144260871,0.5049999999997761,0.4043484596374345,0.48162835331173465,958922893781.4978,4.9806834673500395,14
True,Optimization terminated successfully,1.0,1e+16,0.01,unrestricted,4591110233886.753,2914881920835.365,7505992154722.118,9.806649999993528,-8.940572919959245e-16,9.806649999993526,324324353260.71484,-3243243532.557935,0.009999999999848259,0.3686371478676328,1.823369431959669,0.5049999999999479,0.3546424137276349,0.48529260919172923,958922893786.4539,4.787778312141502,15
True,Optimization terminated successfully,1.0,1.7782794100389228e+16,0.01,unrestricted,4501616150980.133,1703832360586.6023,6205448511566.735,9.806649999951937,-5.207933250882322e-16,9.806649999951937,337120728388.74963,-3371207283.415973,0.009999999998601322,0.3474478420749865,1.888751096233357,0.504999999999528,0.3250606456350369,0.4868668861443795,958922893778.3202,4.6944505967972,17
True,Optimization terminated successfully,1.0,3.162277660168379e+16,0.01,unrestricted,4421643119039.083,1015705535708.3878,5437348654747.471,9.806650000011292,-3.055210823429902e-16,9.806650000011292,357376847540.8745,-3573768475.5370398,0.010000000000358989,0.329836974045817,1.9703823291382017,0.5050000000002723,0.2932171483357926,0.4479219205399865,958922893789.9279,4.611051782863927,18
True,Optimization terminated successfully,1.0,5.623413251903491e+16,0.01,unrestricted,4387420324961.136,596721782091.9155,4984142107053.052,9.806650000002982,-1.7822748779401866e-16,9.806650000002982,373362318961.1427,-3733623189.647387,0.010000000000096314,0.31336932849395893,2.0440146568172537,0.505000000000039,0.31575045322086215,0.4905430178362046,958922893788.3029,4.575362996735093,19
True,Optimization terminated successfully,1.0,1e+17,0.01,unrestricted,4373486806864.1704,345591635436.78815,4719078442300.959,9.806650000018866,-1.0288692996299627e-16,9.806650000018866,384522552540.404,-3845225525.618114,0.010000000000556727,0.3012818678521001,2.0983094117298977,0.5050000000002071,0.30598619545610045,0.49123541012258304,958922893791.4092,4.5608326124869,22
True,Optimization terminated successfully,1.0,1.778279410038923e+17,0.01,unrestricted,4368394339084.328,198084338995.7314,4566478678080.06,9.80664999995901,-5.892984543910304e-17,9.80664999995901,391930205044.6692,-3919302050.251643,0.009999999999502338,0.2938676845014724,2.137197325923528,0.5049999999999502,0.3005502179841452,0.4916153534711343,958922893779.7035,4.555522000174389,29
True,Optimization terminated successfully,1.0,3.1622776601683795e+17,0.01,unrestricted,3907507011542.676,541638693806.85834,4449145705349.534,9.80665000000688,-1.7784838548571329e-16,9.80665000000688,1905760302505.8862,-19057603025.148613,0.010000000000047094,0.044937648897904046,2.0138830347306924,0.44142743333128825,0.12070222750696229,0.20786631107311518,958922893789.065,4.0748917737302595,26
True,Optimization terminated successfully,1.0,5.6234132519034906e+17,0.01,unrestricted,2860206796522.546,1058506167521.788,3918712964044.334,9.806649999984511,-3.270640090394594e-16,9.806649999984511,6622957787046.749,-66229577870.235435,0.009999999999964962,0.0008487006387123954,1.559436691599528,0.41983373703362503,0.11545865181336444,0.20815342863744418,958922893784.6907,2.982728658436593,25
True,Optimization terminated successfully,1.0,1e+18,0.01,unrestricted,2529021352558.393,833652268801.357,3362673621359.75,9.806649999978733,-2.557442772534978e-16,9.806649999978733,9275632436110.562,-92756324360.76584,0.009999999999963368,0.006138759057986869,1.3559268895979169,0.4151538281729584,0.11482391861590903,0.2082085019468063,958922893783.5605,2.6373563181704793,26
True,Optimization terminated successfully,1.0,100000000000000.0,0.01,front_rear,9579375188998.994,230312907986907.66,239892283175906.66,9.806649997796121,-7.719419266623648e-14,9.806649997796045,256257669981.50467,-2562576686.282516,0.009999999947191704,0.4170000000782522,1.5743233965438674,0.5049999999735959,0.2936232810299179,0.5049999999735959,958922893356.7162,9.989724153384559,14
True,Optimization terminated successfully,1.0,177827941003892.28,0.01,front_rear,8037150152897.468,130624667430964.34,138661817583861.81,9.806649998571906,-4.354523175806868e-14,9.806649998571862,258454317739.94415,-2584543168.2371273,0.00999999996454958,0.41700000005253096,1.5792465123568822,0.5049999999822747,0.36860924640983345,0.5049999999822747,958922893508.4333,8.381435261694255,8
True,Optimization terminated successfully,1.0,316227766016837.94,0.01,front_rear,7549455774207.036,73806725136186.9,81356180910393.94,9.806649998131372,-2.45302103511373e-14,9.806649998131347,259689583537.51816,-2596895822.746653,0.009999999951370677,0.41700000007205973,1.5820149838612287,0.5049999999756853,0.41021968850299717,0.5049999999756853,958922893422.2798,7.87284965870816,11
True,Optimization terminated successfully,1.0,562341325190349.06,0.01,front_rear,7395233271823.304,41615591777955.55,49010825049778.85,9.80664999929144,-1.3807925712755188e-14,9.806649999291427,260384224565.8867,-2603842240.5668774,0.009999999980444324,0.41700000002897797,1.5835718097416902,0.5049999999902222,0.4334455297688132,0.5049999999902222,958922893649.1497,7.712020769137116,5
