Gamma,k_opt_exact,b_opt_exact,lambda_min,lambda_max,condition_number,condition_over_4Gamma,tuning_digits,k_opt_numeric,condition_numeric,k_error,condition_relerr
343755.7726853155,1.0,0.9999985454779138,1.4545220862036302e-06,1.9999985454779137,1375021.0907405347,0.9999985454784426,5.53625,0.9999999587329119,1375021.0907405345,4.126708808005475e-08,1.6932877991600535e-16
610414.7228432222,1.0,0.9999991808844281,8.191155718689897e-07,1.9999991808844282,2441656.8913724795,0.9999991808845959,5.785625,0.9999999497030069,2441656.891372479,5.0296993125975575e-08,1.9071528393409381e-16
1083926.9140212017,1.0,0.99999953871418,4.6128581996968623e-07,1.99999953871418,4335705.656084576,0.9999995387142332,6.034999999999999,0.9999999999842092,4335705.656084572,1.5790813101546064e-11,8.59211993146715e-16
1924752.976905648,1.0,0.9999997402263714,2.5977362858648316e-07,1.9999997402263714,7699009.907622462,0.9999997402263884,6.284375,0.9999999999988273,7699009.907622464,1.1727285809115529e-12,2.4193307601628507e-16
3417826.3997185724,1.0,0.9999998537081823,1.462918176927089e-07,1.9999998537081822,13671303.598874217,0.9999998537081877,6.5337499999999995,0.9999999459810469,13671303.59887423,5.401895308843052e-08,9.537141758515534e-16
6069109.874760751,1.0,0.9999999176155926,8.238440741951686e-08,1.9999999176155927,24276437.499042965,0.9999999176155945,6.783124999999999,0.9999999999826257,24276437.499042917,1.7374324201568925e-11,1.9948880012528223e-15
10777052.536943212,1.0,0.9999999536051244,4.639487558260883e-08,1.9999999536051245,43108208.147772826,0.999999953605125,7.0325,0.9999999999988237,43108208.147772826,1.1762812945903534e-12,0.0
19137050.371593814,1.0,0.9999999738726713,2.6127328758773085e-08,1.9999999738726713,76548199.48637526,0.9999999738726716,7.281874999999999,0.9999999666139996,76548199.48637514,3.3386000408697214e-08,1.5573101699406946e-15
33982083.28942552,1.0,0.999999985286364,1.4713635989291983e-08,1.999999985286364,135928331.15770206,0.9999999852863639,7.531249999999999,0.9999999999988237,135928331.15770197,1.1762812945903534e-12,6.577507897110668e-16
60342736.329082504,1.0,0.9999999917139986,8.286001472401289e-09,1.9999999917139986,241370943.31633002,0.9999999917139986,7.780625,0.9999999999988237,241370943.31632993,1.1762812945903534e-12,3.7041313231275377e-16
107151930.52376048,1.0,0.9999999953337285,4.666271514872007e-09,1.9999999953337286,428607720.095042,0.9999999953337286,8.03,0.9999999999996694,428607720.0950412,3.306244167333716e-13,1.8078544686695237e-15
190272051.17702344,1.0,0.9999999973721837,2.6278163165002566e-09,1.9999999973721838,761088202.7080939,0.9999999973721838,8.279375,0.9999999999988237,761088202.7080934,1.1762812945903534e-12,6.26520233143083e-16
337870286.4441986,1.0,0.9999999985201421,1.479857863892221e-09,1.999999998520142,1351481143.7767942,0.999999998520142,8.52875,0.9999999999988237,1351481143.7767932,1.1762812945903534e-12,7.056512188850453e-16
599963734.8507752,1.0,0.9999999991666163,8.33383704987948e-10,1.9999999991666164,2399854937.403101,0.9999999991666163,8.778125000000001,0.9999999999988273,2399854937.4031005,1.1727285809115529e-12,1.9869415887241654e-16
1065368863.667563,1.0,0.999999999530679,4.693210184461989e-10,1.999999999530679,4261475452.670252,0.999999999530679,9.0275,0.9999999999988237,4261475452.670252,1.1762812945903534e-12,0.0
1891799036.744483,1.0,0.9999999997357013,2.6429868625290327e-10,1.9999999997357012,7567196144.97793,0.9999999997357011,9.276875,0.9999999999988237,7567196144.977926,1.1762812945903534e-12,5.041097379452328e-16
3359309359.8651595,1.0,0.9999999998511598,1.4884011755835424e-10,1.99999999985116,13437237437.460638,0.9999999998511598,9.526250000000001,0.9999999999996694,13437237437.460617,3.306244167333716e-13,1.561394971145382e-15
5965199873.818221,1.0,0.9999999999161805,8.381948813073274e-11,1.9999999999161804,23860799493.272884,0.9999999999161805,9.775625,0.9999999906244952,23860799493.272842,9.375504816944158e-09,1.758602847054866e-15
10592537251.772898,1.0,0.999999999952797,4.7203043815410196e-11,1.9999999999527969,42370149005.09158,0.9999999999527968,10.025,0.999999912596222,42370149005.091644,8.740377799298926e-08,1.4405225774085774e-15
18809402501.77704,1.0,0.9999999999734175,2.658244991883222e-11,1.9999999999734175,75237610005.10815,0.9999999999734176,10.274375000000001,0.9999999793658676,75237610005.10805,2.0634132402719274e-08,1.4196559862846278e-15
