target,target_acceleration_m_s2,target_g_fraction,separation_m,target_rate_s-2,model,w,energy_density_j_m3,equivalent_mass_density_kg_m3,pressure_pa,active_mass_density_kg_m3,energy_equivalent_mass_sphere_kg,nec,wec,sec,dec,reconstruction_relative_error
one_percent_g,0.0980665,0.01,1.0,0.0980665,negative_pressure_w_-1_2,-0.5,6.305183699694249e+25,701546299.6893167,-3.1525918498471244e+25,-350773149.8446584,2938630268.3427477,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,1.0,0.0980665,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235608e+27,17538657492.232903,-5.359406144740107e+26,-350773149.8446584,73465756708.56862,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,1.0,0.0980665,dust_negative_energy_route,0.0,-3.1525918498471244e+25,-350773149.8446584,-0.0,-350773149.8446584,-1469315134.1713738,False,False,False,False,0.0
one_percent_g,0.0980665,0.01,10.0,0.00980665,phantom_w_-1.2,-1.2,1.212535326864279e+24,13491274.994025325,-1.4550423922371347e+24,-35077314.98446584,56512120545.05286,False,False,False,False,2.8302810455791646e-16
one_percent_g,0.0980665,0.01,10.0,0.00980665,vacuum_w_-1,-1.0,1.5762959249235622e+24,17538657.49223292,-1.5762959249235622e+24,-35077314.98446584,73465756708.5687,True,True,False,True,0.0
one_percent_g,0.0980665,0.01,10.0,0.00980665,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471244e+24,35077314.98446584,-2.101727899898083e+24,-35077314.98446584,146931513417.1374,True,True,False,True,0.0
one_percent_g,0.0980665,0.01,10.0,0.00980665,negative_pressure_w_-1_2,-0.5,6.305183699694249e+24,70154629.96893167,-3.1525918498471244e+24,-35077314.98446584,293863026834.2748,True,True,False,True,0.0
one_percent_g,0.0980665,0.01,10.0,0.00980665,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235607e+26,1753865749.2232902,-5.359406144740107e+25,-35077314.98446584,7346575670856.862,True,True,False,True,1.981196731905415e-15
one_percent_g,0.0980665,0.01,10.0,0.00980665,dust_negative_energy_route,0.0,-3.1525918498471244e+24,-35077314.98446584,-0.0,-35077314.98446584,-146931513417.1374,False,False,False,False,0.0
one_percent_g,0.0980665,0.01,100.0,0.000980665,phantom_w_-1.2,-1.2,1.2125353268642786e+23,1349127.4994025324,-1.4550423922371342e+23,-3507731.4984465833,5651212054505.284,False,False,False,False,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,100.0,0.000980665,vacuum_w_-1,-1.0,1.576295924923562e+23,1753865.7492232916,-1.576295924923562e+23,-3507731.4984465833,7346575670856.868,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,100.0,0.000980665,negative_pressure_w_-2_3,-0.6666666666666666,3.152591849847124e+23,3507731.4984465833,-2.1017278998980826e+23,-3507731.4984465833,14693151341713.736,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,100.0,0.000980665,negative_pressure_w_-1_2,-0.5,6.305183699694248e+23,7015462.996893167,-3.152591849847124e+23,-3507731.4984465833,29386302683427.473,True,True,False,True,1.4151405227895823e-16
one_percent_g,0.0980665,0.01,100.0,0.000980665,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235605e+25,175386574.922329,-5.359406144740107e+24,-3507731.4984465833,734657567085686.1,True,True,False,True,7.358730718505827e-15
one_percent_g,0.0980665,0.01,100.0,0.000980665,dust_negative_energy_route,0.0,-3.152591849847124e+23,-3507731.4984465833,-0.0,-3507731.4984465833,-14693151341713.736,False,False,False,False,1.4151405227895823e-16
one_g,9.80665,1.0,0.1,98.06649999999999,phantom_w_-1.2,-1.2,1.2125353268642785e+28,134912749940.2532,-1.4550423922371342e+28,-350773149844.6583,565121205.4505284,False,False,False,False,0.0
one_g,9.80665,1.0,0.1,98.06649999999999,vacuum_w_-1,-1.0,1.5762959249235619e+28,175386574922.32916,-1.5762959249235619e+28,-350773149844.6583,734657567.0856869,True,True,False,True,0.0
one_g,9.80665,1.0,0.1,98.06649999999999,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471238e+28,350773149844.6583,-2.1017278998980824e+28,-350773149844.6583,1469315134.1713738,True,True,False,True,3.622759738341331e-16
one_g,9.80665,1.0,0.1,98.06649999999999,negative_pressure_w_-1_2,-0.5,6.3051836996942476e+28,701546299689.3167,-3.1525918498471238e+28,-350773149844.6583,2938630268.3427477,True,True,False,True,0.0
one_g,9.80665,1.0,0.1,98.06649999999999,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235605e+30,17538657492232.9,-5.359406144740106e+29,-350773149844.6583,73465756708.56863,True,True,False,True,4.1661736990925304e-15
one_g,9.80665,1.0,0.1,98.06649999999999,dust_negative_energy_route,0.0,-3.1525918498471238e+28,-350773149844.6583,-0.0,-350773149844.6583,-1469315134.1713738,False,False,False,False,1.8113798691706654e-16
one_g,9.80665,1.0,1.0,9.80665,phantom_w_-1.2,-1.2,1.2125353268642787e+27,13491274994.025324,-1.4550423922371345e+27,-35077314984.465836,56512120545.05285,False,False,False,False,1.8113798691706654e-16
one_g,9.80665,1.0,1.0,9.80665,vacuum_w_-1,-1.0,1.5762959249235622e+27,17538657492.232918,-1.5762959249235622e+27,-35077314984.465836,73465756708.56868,True,True,False,True,1.8113798691706654e-16
one_g,9.80665,1.0,1.0,9.80665,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471243e+27,35077314984.465836,-2.1017278998980827e+27,-35077314984.465836,146931513417.13736,True,True,False,True,3.622759738341331e-16
one_g,9.80665,1.0,1.0,9.80665,negative_pressure_w_-1_2,-0.5,6.305183699694249e+27,70154629968.93167,-3.1525918498471243e+27,-35077314984.465836,293863026834.2747,True,True,False,True,1.8113798691706654e-16
one_g,9.80665,1.0,1.0,9.80665,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235608e+29,1753865749223.2903,-5.359406144740107e+28,-35077314984.465836,7346575670856.862,True,True,False,True,3.6227597383413306e-15
one_g,9.80665,1.0,1.0,9.80665,dust_negative_energy_route,0.0,-3.1525918498471243e+27,-35077314984.465836,-0.0,-35077314984.465836,-146931513417.13736,False,False,False,False,0.0
one_g,9.80665,1.0,10.0,0.9806649999999999,phantom_w_-1.2,-1.2,1.2125353268642787e+26,1349127499.4025323,-1.4550423922371344e+26,-3507731498.4465833,5651212054505.285,False,False,False,False,1.8113798691706654e-16
one_g,9.80665,1.0,10.0,0.9806649999999999,vacuum_w_-1,-1.0,1.576295924923562e+26,1753865749.2232919,-1.576295924923562e+26,-3507731498.4465833,7346575670856.869,True,True,False,True,1.8113798691706654e-16
one_g,9.80665,1.0,10.0,0.9806649999999999,negative_pressure_w_-2_3,-0.6666666666666666,3.152591849847124e+26,3507731498.4465837,-2.1017278998980826e+26,-3507731498.4465833,14693151341713.738,True,True,False,True,3.622759738341331e-16
one_g,9.80665,1.0,10.0,0.9806649999999999,negative_pressure_w_-1_2,-0.5,6.305183699694248e+26,7015462996.8931675,-3.152591849847124e+26,-3507731498.4465833,29386302683427.477,True,True,False,True,1.8113798691706654e-16
one_g,9.80665,1.0,10.0,0.9806649999999999,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235608e+28,175386574922.32904,-5.359406144740107e+27,-3507731498.4465833,734657567085686.4,True,True,False,True,1.9925178560877318e-15
one_g,9.80665,1.0,10.0,0.9806649999999999,dust_negative_energy_route,0.0,-3.152591849847124e+26,-3507731498.4465837,-0.0,-3507731498.4465833,-14693151341713.738,False,False,False,False,0.0
one_g,9.80665,1.0,100.0,0.0980665,phantom_w_-1.2,-1.2,1.2125353268642789e+25,134912749.94025326,-1.4550423922371347e+25,-350773149.8446584,565121205450528.5,False,False,False,False,1.8113798691706654e-16
one_g,9.80665,1.0,100.0,0.0980665,vacuum_w_-1,-1.0,1.5762959249235622e+25,175386574.9223292,-1.5762959249235622e+25,-350773149.8446584,734657567085686.9,True,True,False,True,0.0
one_g,9.80665,1.0,100.0,0.0980665,negative_pressure_w_-2_3,-0.6666666666666666,3.1525918498471244e+25,350773149.8446584,-2.101727899898083e+25,-350773149.8446584,1469315134171373.8,True,True,False,True,1.8113798691706654e-16
one_g,9.80665,1.0,100.0,0.0980665,negative_pressure_w_-1_2,-0.5,6.305183699694249e+25,701546299.6893167,-3.1525918498471244e+25,-350773149.8446584,2938630268342747.5,True,True,False,True,0.0
one_g,9.80665,1.0,100.0,0.0980665,near_SEC_boundary_w_-0.34,-0.34,1.5762959249235608e+27,17538657492.232903,-5.359406144740107e+26,-350773149.8446584,7.346575670856862e+16,True,True,False,True,1.8113798691706654e-16
one_g,9.80665,1.0,100.0,0.0980665,dust_negative_energy_route,0.0,-3.1525918498471244e+25,-350773149.8446584,-0.0,-350773149.8446584,-1469315134171373.8,False,False,False,False,0.0
