sample_index,energy_j,radius_m,thickness_m,gap_m,kappa,rho_active_kg_m3,active_mass_abs_kg,active_energy_abs_j,lever_m
553160,135809574.9828554,0.5131807315222915,0.4707476501979393,0.0005300383291929542,9.86053038702049,132304676800.92186,51529260834.10925,4.6312190031135954e+27,0.17675018919775343
3188424,135872974.27144516,0.5030621820812372,0.565564578855679,0.0002456310002066304,9.81485758852313,122591940537.49597,55123569812.55225,4.954259383949185e+27,0.1907537849044657
5394696,135877835.66006252,0.5565196698130869,0.5783088337093942,0.001879796460799418,9.880018578653477,110317849413.28499,62074970726.24303,5.579020141014727e+27,0.21197727095552354
6809864,135887058.70359498,0.5588344345172963,0.7714323388924166,0.0009091102137510343,9.962841672862329,95921143162.2535,72598621942.34915,6.524838743984266e+27,0.24379272270300545
3802344,135908301.68748406,0.4027525244787841,0.5063824456927453,0.00033510329765010726,9.931957199601822,163777556438.61362,42262914615.27219,3.7984013378987816e+27,0.14278437879292438
4188264,135968594.5336403,0.4249967336475975,0.35191073990186655,0.0001357258881111928,9.979163450230567,187105147088.76077,37362791217.87191,3.3580002099124867e+27,0.1249825406738651
799112,136068046.9083326,0.6243996489867106,0.6696480402728024,0.00040488555748331793,9.92838704921814,91885074305.06792,75364486823.12297,6.773422282512442e+27,0.2545013630687216
2418632,136178217.85785598,0.5416723087557951,0.5703694984097084,0.0006779251646907711,9.82963950478358,113671287877.3922,59762700599.06391,5.37120366587066e+27,0.20572368883102554
4515400,136283926.72225636,0.49415585880321766,0.3760194417127808,0.0005498443943820623,9.984350036214757,155936278670.07254,44981634917.85639,4.04274773304723e+27,0.14996431142099975
4658504,136331168.3548228,0.4686398844908688,0.4936500882564085,0.0016800604895558665,9.839254005500969,141444166584.3689,48176209565.14522,4.329861783858447e+27,0.16532938205240083
6175304,136432141.18944284,0.4892453954603023,0.7300913409600643,0.0003539671264595005,9.947589591000254,112676930669.1744,61860805760.024055,5.559771953765398e+27,0.2075391698853586
5899624,136433669.3874795,0.44264481820088075,0.39130186048895216,0.0009934564168449398,9.907740382132138,169433079434.38107,40810391285.86757,3.667855051444937e+27,0.1380183653297004
3052296,136448870.3881118,0.5534647992515572,0.6732906346959673,0.002329306426317224,9.892485974132763,103150959323.17296,66835273092.93002,6.006854781456034e+27,0.22670537249242162
1668552,136536815.39413953,0.5198928662444913,0.7825624091189293,0.00045190068864757156,9.969748082762148,102685676110.42345,68234881024.70913,6.132645269144793e+27,0.2277326063584909
5929736,136564361.1118436,0.5502026396501485,0.5168798106813071,0.00024212851268192253,9.835962272692843,117799171526.50586,57906460136.51812,5.204373093001274e+27,0.19851478031022274
2165576,136624740.27344823,0.4536080570718274,0.39636471996563194,0.0013862329233356894,9.904888153966999,164346379874.16544,42108185375.44927,3.784494967339496e+27,0.14229018414774686
3453896,136680281.52038026,0.5307863749478502,0.45591164820914154,0.003566751828508618,9.943160859233032,131489609237.85886,53059301456.85951,4.768732196451046e+27,0.17784581452370396
3939176,136722433.70220834,0.44816965981812623,0.460743264961355,0.0012287122680540179,9.834509956030995,153240941540.30484,44552141536.94738,4.0041467930147136e+27,0.15260201628400955
5776840,136747396.7557234,0.520447063653417,0.6712467207252701,0.0012979618808691053,9.861427098869777,109636660460.12602,62624024424.813835,5.628366626514239e+27,0.21329431741324745
5461064,136786571.40912265,0.476186683854504,0.45499535044335815,0.00015063820752363226,9.802469066407625,144694037039.13782,46898824599.1783,4.215056148518115e+27,0.1616160357042582
7793672,136905483.68646032,0.5773990537619724,0.6253436694247454,0.0011938512398983344,9.849343732191624,102319030574.34383,67015796365.00654,6.023079404022162e+27,0.2285486534132023
7569128,136935610.53774658,0.40924555208166674,0.482199354315322,0.00012996382156317023,9.857653698904901,164554068933.62048,41749671115.61428,3.7522733125717266e+27,0.14211059506370388
6420104,136952336.3258836,0.5944677247494017,0.7087808081182569,0.0002497231785552795,9.871077687107569,93570550506.33385,73630469196.28691,6.617576550298459e+27,0.24991705755463756
4947464,136954032.51993895,0.5830451737758284,0.8531977633442007,0.00031849772887055733,9.994650279483412,88044473944.20013,80224329026.77196,7.210203117349769e+27,0.26560300276348026
1615464,136990936.24587,0.4178540976764197,0.49817321808353976,0.0018264642095052442,9.889083546993767,159096731208.83118,43475124697.34299,3.907349346796593e+27,0.14698527417018675
4167176,136999271.92158365,0.5860832338326977,0.5471570763589341,0.0030370390513120055,9.918009956746815,108553169661.06667,64094829600.30126,5.760556003352463e+27,0.21542325046172928
8450120,137013614.48759788,0.48470173738482086,0.6010786753495978,0.0028960556669285283,9.863605514658403,124552218347.82869,55256301562.46996,4.966188718711318e+27,0.18775158697699923
7010664,137127740.94778684,0.43672838455184676,0.4339818119338507,0.00011728454265624428,9.812532645101898,161908906278.0477,42103187765.09928,3.78404580452116e+27,0.14443230575686483
1177416,137175736.66799963,0.45973427272338147,0.42722638912248245,0.0003809121780256251,9.81708798933722,155117060062.47186,44002897066.56336,3.954783161799694e+27,0.15075631685446156
1401064,137221117.03919083,0.3960579392339073,0.40521637330198024,0.0001009115137662658,9.886388592736454,186217324752.6254,37185565292.67144,3.342071938104452e+27,0.12557841590397384
7324424,137277645.08194533,0.5524875041191533,0.7890236867693341,0.0002228320883518383,9.918563063965331,95996486091.37793,72634034768.96832,6.528021490116035e+27,0.24360138176360713
6819624,137286731.8422063,0.37777817783508405,0.4592542289343787,0.00038394596476848224,9.945576769407863,184524889989.18057,37995461761.39086,3.4148618026546764e+27,0.1267302024007802
7601224,137354787.75994486,0.47921418838967894,0.6101532877432317,0.006968545509845842,9.965790239316616,126490714097.11519,55680972108.6545,5.004356203975353e+27,0.18487425597389273
7376360,137402297.30616102,0.39443327087776736,0.3680236700154184,0.0012660071944954655,9.957349610697893,197744076608.00363,35569371368.201904,3.1968156721584543e+27,0.11825829151215173
9409736,137417297.77235875,0.510618725215387,0.7160937654827657,0.00395951786832649,9.950319877541762,109433479588.9278,64189419459.37329,5.76905731592216e+27,0.21369033264913728
5033032,137457415.46415833,0.4776893099006474,0.38452222580625695,0.002246997690440768,9.939100052055911,159477364688.3759,43960377741.41459,3.9509617154323086e+27,0.146634456256569
753416,137458822.9494478,0.5479487685446335,0.5254549705778838,0.004287118590651004,9.885808215006007,118294602972.00531,58631393845.09259,5.269526885483494e+27,0.19768337750661913
3288808,137475543.2377798,0.40738458851551246,0.5927912819037914,0.0013579585477793018,9.976448910973787,151184529600.61377,46727035023.18726,4.1996164714106205e+27,0.15467770887726873
9810952,137488863.96989706,0.575628228399563,0.5130867912772301,0.0025860189420822102,9.900597710060389,114138411164.67867,60961647656.91079,5.478959653597775e+27,0.20488174329473452
6466824,137542963.01830637,0.5616853949480033,0.6166269233427571,0.0005085974688410867,9.795911268793613,105592678118.93738,64534570427.44675,5.800077937922364e+27,0.22146305096997654
5895784,137602406.7979329,0.4171250267757352,0.6072829319791483,0.0001075483490398419,9.91937641411835,145114145264.89362,48170725927.00177,4.329368939040473e+27,0.16114815419009249
374344,137644317.5383327,0.4950298437016665,0.43817904295134136,0.0010234225924539598,9.824650363291811,142597926772.45325,48103585687.1173,4.323334675210693e+27,0.16399170160184962
7920008,137651804.19436678,0.6210556152481497,0.508491866682847,0.0016432541268769773,9.985289934819948,107239130186.97618,66076670559.727806,5.938674985924198e+27,0.21806290871194112
921896,137665619.16618758,0.36694777534764167,0.3903697791495392,0.00045603185997186534,9.975291135385428,206952234357.482,34174699106.152798,3.071468780342732e+27,0.11299649278449608
7402376,137683678.1975021,0.6424623341294919,0.5689258107799988,0.0003256603519426051,9.940917014772555,97581240710.97159,71989173570.02838,6.470064255904665e+27,0.23964520727477556
1913992,137704751.99704427,0.6185079844458271,0.5505113242847751,0.0004779067421513008,9.902989432397689,102656508146.73598,67919305778.70166,6.104282780481758e+27,0.2277973124011241
9035528,137760275.65453702,0.5476096487897033,0.5598927648597505,0.0009476523584978462,9.785906833308024,113635415999.0739,59939155220.10229,5.387062616317689e+27,0.20578863068975906
1084520,137766519.6547478,0.4322659125140056,0.5831634901981483,0.0002929320601708587,9.845132789125056,141912750135.56653,48580680553.54492,4.3662138234057507e+27,0.16478347882041205
7907304,137780858.88896626,0.3812821973244616,0.39372228845879803,0.0001644600396756934,9.91292670748496,197164607306.5001,35453726264.03049,3.186422008531493e+27,0.11860585414276636
2644584,137798531.792549,0.42166126135057275,0.4887443940113062,0.0004959355632709513,9.810649124084636,158376079441.00385,43236313455.02934,3.885886062719597e+27,0.1476540948535197
