epsilon,omega,chi_factor,chi,chi_critical,X_MATCH,centered_E_J,max_shift_m,source_leak,payload_overlap,promoted_E_J,promoted_backreaction,ceiling_alpha_m,ceiling_E_J,ceiling_backreaction,surface_min_mps2,a_cm_mps2,E_over_QmX,scalar_hessian,conservation_rel,DEC_pass,PASS83
0.005,0.43,5.0,0.9163728965965403,0.18327457931930807,160.0,1273558250947.6582,0.7767852256729865,0.00010000000000036984,1.3776130315721841e-52,202879360597.51636,0.007250026357894635,31.719116393729895,147088071180.48657,0.00999999999999958,9.80665,12.841209479258614,0.635820506099236,0.0004308313072444022,4.518630035636243e-06,True,False
0.00625,0.34,2.0,0.2671577026975155,0.13357885134875774,128.0,885670170930.8572,0.7150614803490883,0.00010000000000399063,3.8803885901483686e-45,167638369919.2907,0.007133281061776717,31.977624996806394,119581160937.2448,0.00999999999999957,9.80665,12.71214644318087,0.4811693237896271,0.0006727543407978923,2.0178567510509652e-06,True,False
0.00625,0.34,2.5,0.33394712837189433,0.13357885134875774,128.0,818813513081.564,0.7112271265450041,0.00010000000172013272,8.199937369508179e-45,156622276682.92126,0.007126179268268554,31.99355512772914,111611842104.69019,0.009999999999999577,9.80665,12.7045607653841,0.49206684364575737,0.000682339879890873,1.7710636332254228e-06,True,False
0.00625,0.34,3.125,0.41743391046486794,0.13357885134875774,128.0,799915877536.7678,0.707069578629905,0.00010000000000003452,1.5905603420642641e-44,154758339718.24387,0.007118498852297899,32.010809999326796,110164706366.78943,0.009999999999999573,9.80665,12.696389567975334,0.5007775199154652,0.0006885571120514476,1.6686622602001127e-06,True,False
0.00625,0.34,4.0,0.534315405395031,0.13357885134875774,128.0,811034264744.8302,0.7022585062149727,9.999999888494312e-05,2.9928068045498328e-44,158983786074.12274,0.007109637106766882,32.030753584922536,113031702484.74036,0.00999999999999529,9.80665,12.687003176395558,0.508357163033538,0.0006933232488961808,1.6630327782304149e-06,True,False
0.00625,0.34,5.0,0.6678942567437887,0.13357885134875774,128.0,839855019757.2164,0.6978708075856029,9.99999990061355e-05,4.853449429750243e-44,166612218011.39908,0.0071015794751943815,32.04891988471223,118320990774.69035,0.009999999999995434,9.80665,12.678506855228333,0.5136764462718979,0.0006964765827159652,1.5789346236712003e-06,True,False
0.00625,0.37,2.0,0.2992499396685848,0.1496249698342924,128.0,970598594161.5961,0.7289280464053286,0.0001000000000021552,8.524692876125107e-45,176824941982.91705,0.007159111504727632,31.919884408186807,126590947647.27515,0.00999999999999957,9.80665,12.739984408934422,0.5208319660372752,0.0006689689633895505,2.1189412658858857e-06,True,False
0.00625,0.37,2.5,0.374062424585731,0.1496249698342924,128.0,894199168759.5015,0.7250316106666908,9.999999999412872e-05,1.6538719890691408e-44,164670138130.32578,0.007151829947391403,31.936129714610143,117769282532.1593,0.009999999999999572,9.80665,12.732097237618014,0.5324530313858667,0.0006777709960860366,2.020190600459762e-06,True,False
0.00625,0.37,3.125,0.46757803073216375,0.1496249698342924,128.0,869604823333.9232,0.7208657192056008,0.00010000000084917761,2.964129555365488e-44,161991225190.74747,0.0071440650050508744,31.953480820651613,115727584301.05846,0.00999999999999957,9.80665,12.723720960013361,0.5416757232880182,0.0006834611858310988,2.0079320491099834e-06,True,False
0.00625,0.37,4.0,0.5984998793371696,0.1496249698342924,128.0,875911523371.738,0.7161137113851628,0.00010000000047460961,5.15377413600085e-44,165312862131.93756,0.007135233041503749,31.97325065157073,117954579606.94052,0.009999999999999573,9.80665,12.714236517792187,0.5496169018976026,0.0006878115210090817,2.004131631427164e-06,True,False
