omega,epsilon,chi,chi_factor,shift_m,max_shift_1e4_m,max_shift_1e6_m,source_leak,payload_overlap,promoted_alpha,promoted_energy_J,promoted_backreaction,ceiling_alpha,ceiling_energy_J,ceiling_backreaction,ceiling_surface_min_mps2,ceiling_a_cm_mps2
0.55,0.025,1.3731406760973095,5.0,0.05030719205489144,0.06707625607318858,0.0,8.964186016223464e-05,2.624065813000974e-16,27.007903507182004,258276521310.56958,0.006144021515834452,34.45597227798668,158685650423.11853,0.009999999998335259,9.80665,11.862014069874775
0.55,0.025,1.3731406760973095,5.0,0.06707625607318858,0.06707625607318858,0.0,9.999999999999324e-05,3.7293273206222364e-16,27.007903507182004,249562753171.45654,0.006163789221156462,34.40067654673502,153825220814.16962,0.009999999999081157,9.80665,11.875917603020692
0.55,0.025,0.8582129225608184,3.125,0.0,0.1263020260041275,0.0,4.2231042457281264e-05,4.1146738416874186e-17,27.007903507182004,298070686933.12683,0.006086036390265107,34.61972397611863,181406904754.63278,0.01,9.80665,11.821779707214287
0.55,0.025,0.8582129225608184,3.125,0.03157550650103187,0.1263020260041275,0.0,4.514079010182905e-05,7.992914091400375e-17,27.007903507182004,279693419008.1767,0.006122202342265793,34.517317215859016,171233970478.58002,0.01000000000106513,9.80665,11.846779052331147
0.55,0.025,0.8582129225608184,3.125,0.06315101300206374,0.1263020260041275,0.0,5.4002690031109457e-05,1.552867241433044e-16,27.007903507182004,262259412958.95612,0.0061591420132595335,34.41365213227366,161529296890.10568,0.009999999998930422,9.80665,11.872640310972974
0.55,0.025,0.8582129225608184,3.125,0.09472651950309562,0.1263020260041275,0.0,7.098744256164996e-05,3.0172430020944234e-16,27.007903507182004,245729000563.68796,0.006196876936851858,34.30871383257243,152275237634.25433,0.009999999999778245,9.80665,11.899407995464273
0.55,0.025,0.8582129225608184,3.125,0.1263020260041275,0.1263020260041275,0.0,0.00010000000000857102,5.863524355015062e-16,27.007903507182004,230063894211.6752,0.006235429152252076,34.202487967051546,143454711284.87234,0.009999999999995776,9.806650000000001,11.927129713919152
0.7,0.025,2.0433300920802577,5.0,0.0,0.10360174215170206,0.0,6.172960168003939e-05,9.48889386863653e-16,27.007903507182004,348758369670.4932,0.006086036390265272,34.61972397611816,212255612922.421,0.01,9.80665,11.821779707213054
0.7,0.025,2.0433300920802577,5.0,0.025900435537925516,0.10360174215170206,0.0,6.399768956361677e-05,1.5187906882190675e-15,27.007903507182004,331037898045.45746,0.006115645812215694,34.53581511458377,202451053473.75992,0.01000000000063615,9.80665,11.84222362506468
0.7,0.025,2.0433300920802577,5.0,0.05180087107585103,0.10360174215170206,0.0,7.042629721883462e-05,2.4313932314172885e-15,27.007903507182004,314065719867.2448,0.006145773248424269,34.451061427307074,193017669971.35886,0.009999999998412765,9.80665,11.86324224867447
0.7,0.025,2.0433300920802577,5.0,0.07770130661377656,0.10360174215170206,0.0,8.19728658028305e-05,3.8930685404968075e-15,27.007903507182004,297815974745.67523,0.006176430507211485,34.365454623309226,183943967206.064,0.009999999999420878,9.80665,11.884859702589486
0.7,0.025,2.0433300920802577,5.0,0.10360174215170206,0.10360174215170206,0.0,9.999999992275609e-05,6.2345125723966824e-15,27.007903507182004,282263541742.22797,0.0062076296288333735,34.27898663033337,175218752487.82782,0.009999999999887125,9.80665,11.907101470611615
0.55,0.025,0.5492562704389238,2.0,0.0,0.174450719361112,0.0,2.1005621250317506e-05,1.610999578946445e-17,27.007903507182004,349953497854.6052,0.0060860363902650975,34.61972397611866,212982972284.36853,0.010000000000000002,9.80665,11.82177970721433
