success,trivial_branch,radius_m,factor,eta_critical,eta,message,edge_width_m,phi_center_gev,phi_near_payload_gev,alpha_x_center,M_m_required_gev,alpha_m_near_payload,payload_mass_shift_ratio_rho8000,compactness,E_gradient_J,E_potential_J,E_source_on_J,E_source_off_J,E_on_J,E_inventory_J,off_over_on,payload_center_m,a_cm_mps2,a_near_surface_mps2,a_center_sample_mps2,a_far_surface_mps2,a_adverse_surface_mps2
True,,1.0,5.0,34.081978597400635,170.40989298700316,,0.05,177.93032620910333,42.6345000771357,-6.190846607595661e+16,3222033638.679544,10.0,0.0009289133587791446,3.1557843811837754e-33,98791131850.33986,13567634737.50568,78606513771.11784,345353679934.05646,190965280358.96338,345353679934.05646,4.3934486261486985,2.1,10.487436834219704,12.636748820471103,10.468017627157785,8.72775365058806,8.72775365058806
True,,1.0,7.5,34.081978597400635,255.61483948050477,,0.05,197.39964845111334,48.522510083121986,-6.868255513216876e+16,3437329080.149325,10.0,0.0008161934862536625,3.685907847933686e-33,125947084086.67891,17496308085.888195,79601131957.41324,518030519901.0848,223044524129.98035,518030519901.0848,6.507828559250038,2.1,11.935797502347965,14.38193882770592,11.913696418278414,9.93309441291601,9.93309441291601
True,,1.0,9.0,34.081978597400635,306.7378073766057,,0.05,205.3943507717321,51.0057363636282,-7.146420437627651e+16,3524187396.343087,10.0,0.0007764569142611762,3.9263483930722794e-33,138296164960.10892,19298325538.886448,79999759013.30972,621636623881.3015,237594249512.30508,621636623881.3015,7.770481205798115,2.1,12.54663329764911,15.117960282499016,12.523401151054228,10.441438293944584,10.441438293944584
True,,1.0,10.0,34.081978597400635,340.8197859740063,,0.05,209.83717310360112,52.40120458223701,-7.301002470648138e+16,3572071292.0901666,10.0,0.0007557795089303486,4.065829365444695e-33,145467758585.58264,20348644913.60775,80218227159.76562,690707359868.1129,246034630658.95602,690707359868.1129,8.61035433371613,2.1,12.88989719825409,15.531573232893777,12.86602944232319,10.727106070445014,10.727106070445014
True,,1.0,12.0,34.081978597400635,408.9837431688076,,0.05,217.25208782681787,54.75383108463179,-7.558994464693552e+16,3651377530.34493,10.0,0.0007233056734478938,4.308068823232402e-33,157935086207.63647,22180624184.968624,80577502850.84308,828848831841.7356,260693213243.44818,828848831841.7356,10.286355403393634,2.1,13.46860743981284,16.228885271861245,13.443668107081319,11.208714732622289,11.208714732622289
True,,1.0,15.0,34.081978597400635,511.22967896100954,,0.05,225.9074831656758,57.535778321949714,-7.860147314871525e+16,3742988381.146107,10.0,0.0006883326830987375,4.605967211971883e-33,173286151234.70227,24445939343.81613,80987781793.8969,1036061039802.1696,278719872372.4153,1036061039802.1696,12.792806727795147,2.1,14.152924034934607,17.053446798469675,14.126717577941292,11.778210096994249,11.778210096994249
False,True,1.1,0.625,28.820271226445392,18.01266951652837,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,1.1,1.05,28.820271226445392,30.261284787767664,,0.05,14.15431668023744,2.9813855282857684,-4924804291074212.0,852037191.7572522,10.0,0.013283675086895964,1.2347599782492266e-33,550444572.2726275,77314901.1163555,81562872913.01474,82193297116.90579,82190632386.40372,82193297116.90579,1.0077293035590273,2.2,0.7161718010951483,0.8574739939677298,0.7149222696522899,0.5995810982482024,0.5995810982482024
True,,1.1,1.25,28.820271226445392,36.02533903305674,,0.05,64.90835491749809,14.076042383650986,-2.2583989891266172e+16,1851355265.8576946,10.0,0.0028135576454729003,1.4500160546528578e-33,12033449443.740398,1715058594.0105267,82770441881.03354,97849163234.41165,96518949918.78447,97849163234.41165,1.1821751945585943,2.2,3.3812683836253967,4.04839970123158,3.3753689595547756,2.8308076467488488,2.8308076467488488
True,,1.1,1.6,28.820271226445392,46.11243396231263,,0.05,97.96459956944345,22.002728196540176,-3.4085466026528716e+16,2314662894.6474113,10.0,0.0017999475479931314,1.759791782652186e-33,28726797191.177124,4165497360.905813,84246584284.64735,125246928940.04694,117138878836.73029,125246928940.04694,1.4866707060415654,2.2,5.285372633637067,6.328187698597193,5.276151048421263,4.424929218772856,4.424929218772856
True,,1.1,1.875,28.820271226445392,54.03800854958511,,0.05,113.63515646702295,26.02633720303509,-3.953782572683659e+16,2517421917.148384,10.0,0.0015216799950591349,1.9615381450013855e-33,39680101570.3482,5808405197.837253,85079428237.54092,146773744851.6175,130567935005.72638,146773744851.6175,1.7251378845874075,2.2,6.251901545025782,7.485414783867003,6.240993621052492,5.234110012114506,5.234110012114506
True,,1.1,3.125,28.820271226445392,90.06334758264185,,0.05,151.80220189020264,36.611682870480124,-5.2817536314359384e+16,2985790478.074761,10.0,0.0010817245633484441,2.623392707469693e-33,75928440703.4737,11388004150.256176,87307214337.54088,244622908086.02914,174623659191.27075,244622908086.02914,2.8018636253847893,2.2,8.794654234989933,10.529857892910998,8.779309876305494,7.362909900759837,7.362909900759837
True,,1.1,5.0,28.820271226445392,144.10135613222695,,0.05,178.4384870181513,44.65094455179487,-6.208527380108327e+16,3297348176.6962447,10.0,0.0008869634688372979,3.245738771813544e-33,110312286692.33353,16823266545.239191,88913984256.08511,391396652937.6466,216049537493.65784,391396652937.6466,4.401969568817968,2.2,10.725800832153725,12.842023749029675,10.707087130540339,8.979671403844916,8.979671403844916
True,,1.1,7.5,28.820271226445392,216.15203419834043,,0.05,197.85902305207054,50.82318417458168,-6.8842388351752104e+16,3517875118.0948195,10.0,0.000779245875867985,3.790935769267328e-33,140590648116.59378,21688289362.586697,90061123505.06833,587094979406.47,252340060984.2488,587094979406.47,6.518850271431827,2.2,12.208461804880608,14.617216829852051,12.187161249803179,10.220959448135325,10.220959448135325
True,,1.1,9.0,28.820271226445392,259.38244103800855,,0.05,205.83415017559824,53.42735482845935,-7.16172266690726e+16,3606876890.1543965,10.0,0.000741263661539649,4.0382533090941555e-33,154362269110.06232,23919951492.14057,90520298962.40784,704513975287.764,268802519564.61072,704513975287.764,7.782939112699369,2.2,12.834021152993177,15.366200344519475,12.81162916137267,10.744679539302302,10.744679539302302
True,,1.1,10.0,28.820271226445392,288.2027122644539,,0.05,210.26619680457065,54.89101460273057,-7.315929773825248e+16,3655948858.472297,10.0,0.0007214979893002693,4.181733463832266e-33,162360621727.49225,25220713566.877525,90771805330.6557,782793305875.2932,278353140625.0255,782793305875.2932,8.62374944536799,2.2,13.185613339506883,15.787162404121291,13.162607911988125,11.039033532300934,11.039033532300934
True,,1.1,12.0,28.820271226445392,345.84325471734473,,0.05,217.66328498348963,57.358927504614904,-7.573301517216136e+16,3737231441.5050254,10.0,0.0006904549716926879,4.4309337795235785e-33,176266206554.3492,27489533537.36336,91185184311.82661,939351967050.3518,294940924403.5392,939351967050.3518,10.301585439999148,2.2,13.778441610496966,16.496956931754895,13.754401853556558,11.535351071261926,11.535351071261926
True,,1.1,15.0,28.820271226445392,432.30406839668086,,0.05,226.2981170335635,60.27765195831426,-7.873738895392669e+16,3831136678.826471,10.0,0.0006570222193444144,4.737416402726275e-33,193389745672.87604,30295014279.61457,91656890956.77042,1174189958812.94,315341650909.261,1174189958812.94,12.810711192099475,2.2,14.479561317785604,17.336409022355163,14.454298291347401,12.1223305131455,12.1223305131455
False,True,1.25,0.625,23.092965170246035,14.433103231403772,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,1.25,1.05,23.092965170246035,24.24761342875834,,0.05,18.28058852241268,4.030377389219002,-6360485132019083.0,990654780.5743567,10.0,0.009826314719921592,1.2881745229008291e-33,1047836608.9414595,169207345.2583172,96221730057.0154,97447328069.16467,97438774011.21518,97447328069.16467,1.0127372269384791,2.35,0.9366163320601838,1.1119482795852502,0.935110890809957,0.7904366193930937,0.7904366193930937
