success,trivial_branch,radius_m,factor,eta_critical,eta,message,edge_width_m,phi_center_gev,phi_near_payload_gev,alpha_x_center,M_m_required_gev,alpha_m_near_payload,payload_mass_shift_ratio_rho8000,compactness,E_gradient_J,E_potential_J,E_source_on_J,E_source_off_J,E_on_J,E_inventory_J,off_over_on,payload_center_m,a_cm_mps2,a_near_surface_mps2,a_center_sample_mps2,a_far_surface_mps2,a_adverse_surface_mps2
True,,0.9,12.0,41.11646179947638,493.3975415937166,,0.05,216.77804746816832,51.83942645044707,-7.542500867403339e+16,3552872125.5744433,10.0,0.000763969807890887,4.184584035930259e-33,139941342048.8173,17511815292.41047,70445567785.41637,722803377727.0126,227898725126.6441,722803377727.0126,10.26045215404804,2.0,13.07731560273216,15.868583903301865,13.051505724860572,10.81159848431372,10.81159848431372
True,,0.9,15.0,41.11646179947638,616.7469269921457,,0.05,225.45530454226738,54.4705194376294,-7.844414367282446e+16,3641918654.0974193,10.0,0.0007270677253568231,4.473947966017529e-33,153556886608.71454,19302371561.308113,70798660749.43153,903504222158.7656,243657918919.45416,903504222158.7656,12.761600468071286,2.0,13.741050441820486,16.673988644120175,13.713930592112451,11.360337598537924,11.360337598537924
False,True,0.95,0.625,37.33135645878566,23.332097786741038,TRIVIAL_PHI_ZERO_BRANCH,,,,,,,,,,,,,,,,,,,,,
True,,0.95,1.05,37.33135645878566,39.19792428172495,,0.05,5.210351985825067,1.0333580517571919,-1812871959663395.2,501620061.0052156,10.0,0.038325299347285215,1.1800176037532093e-33,64066598.695986986,7673873.557074345,67764095898.31645,67835877702.57116,67835836370.56951,67835877702.57116,1.0010592896327049,2.05,0.25736541124505136,0.3111743527477019,0.2568736906746633,0.21349505886284073,0.21349505886284073
True,,0.95,1.25,37.33135645878566,46.664195573482075,,0.05,63.32640662623711,12.91152633851109,-2.203357224066088e+16,1773120600.3618171,10.0,0.0030673179628961495,1.387022191777023e-33,9821989172.735312,1193210390.1948059,68720738396.35893,80756997264.96564,79735937959.28905,80756997264.96564,1.1751474030908322,2.05,3.2157104502757723,3.888038463085531,3.209566536184276,2.6675623913338877,2.6675623913338877
True,,0.95,1.6,37.33135645878566,59.730170334057064,,0.05,96.77140391130045,20.400361148100533,-3.3670309630775732e+16,2228786203.1972647,10.0,0.0019413262529526013,1.684707485690271e-33,23991936087.408005,2963938672.515811,69893139159.92297,103368956499.15605,96849013919.84679,103368956499.15605,1.4789571300072362,2.05,5.080859753790484,6.143145800514026,5.071152298370935,4.214779472353031,4.214779472353031
True,,0.95,1.875,37.33135645878566,69.99629336022312,,0.05,112.54791167285516,24.173197238863445,-3.9159533510495144e+16,2426143756.5946603,10.0,0.0016383334101477704,1.8784700345988256e-33,33282022160.51352,4149768077.849523,70556078322.888,121135495897.44847,107987868561.25104,121135495897.44847,1.7168683234220061,2.05,6.020512287980562,7.279257167304992,6.0090095389438805,4.994259403735556,4.994259403735556
True,,0.95,3.125,37.33135645878566,116.6604889337052,,0.05,150.90479061355444,34.05521586485912,-5.2505294119561944e+16,2879660581.230572,10.0,0.0011629277824483893,2.513684821308607e-33,63997293129.94495,8172489303.442084,72334767060.72147,201892493162.41412,144504549494.1085,201892493162.41412,2.791085136044405,2.05,8.481701595293604,10.255022193334403,8.46549651503001,7.035915869907233,7.035915869907233
True,,0.95,5.0,37.33135645878566,186.6567822939283,,0.05,177.65053737646653,41.535775020172785,-6.181111731128694e+16,3180245464.962111,10.0,0.0009534854386920037,3.110533964509562e-33,93105241483.73834,12087692813.517881,73622765036.751,323027989059.86255,178815699334.00723,323027989059.86255,4.387610121660242,2.05,10.344789786338742,12.507637489056295,10.325025102694289,8.581423174442094,8.581423174442094
True,,0.95,7.5,37.33135645878566,279.9851734408925,,0.05,197.1459630987292,47.2707390116428,-6.8594288722689e+16,3392701718.2969418,10.0,0.0008378070132723629,3.633150346138985e-33,118723323852.56631,15590939446.119604,74545156769.68347,484541983589.7939,208859420068.3694,484541983589.7939,6.4999794029120705,2.05,11.773124683067307,14.23460299248703,11.750631032671937,9.766284968331576,9.766284968331576
