radius_mid,active_integral,energy_integral,kernel_volume_integral,radialized_force
2.989355755134519121e+00,-7.555416835532444804e-10,9.249299006360937217e-10,1.197645714387518545e-05,-1.430932701518925117e-15
3.046295864756129124e+00,-3.473923262705996655e-10,4.192749520718187732e-10,-7.632809543925422879e-06,4.285813490220447063e-16
3.103235974377739126e+00,-1.864089359371735505e-10,2.229878818466475152e-10,3.408202194826737141e-06,-8.687266739178536261e-17
3.160176083999348684e+00,-7.675387696680048773e-11,1.045040413535883574e-10,8.015227923457990400e-06,-8.881125504243341071e-17
3.217116193620959130e+00,-3.784102909434906218e-11,5.569359639359831882e-11,-8.421691355259275369e-06,4.352871311930804739e-17
3.274056303242568688e+00,-1.730965442817156192e-11,2.497384224476578711e-11,-2.945102115003983556e-05,6.947825103904407766e-17
3.330996412864178691e+00,-7.424130756808258888e-12,1.189676157356509972e-11,-4.056664682040855840e-05,4.409222283771049614e-17
3.387936522485788693e+00,-3.649691921350481432e-12,6.460477029514906327e-12,-5.697195037794589023e-05,2.830749743489332371e-17
3.444876632107398251e+00,-1.447756056723500546e-12,2.843463211392796858e-12,-5.902050814633741371e-05,1.361628687216122680e-17
3.501816741729008253e+00,-7.747415414350103236e-13,2.668077313080553300e-12,-6.494404249517138350e-05,7.471807322196630655e-18
3.558756851350618255e+00,-2.836596945451723477e-13,1.594144810126420037e-12,-6.508158308578954054e-05,2.839875749361976866e-18
3.615696960972227814e+00,-1.417325530452737310e-13,1.209729164644355330e-12,-6.849834036554147687e-05,1.517880184077893826e-18
3.672637070593838260e+00,-5.340137804127183583e-14,8.554176875149218477e-13,-5.884056055597414181e-05,5.684960994719623520e-19
3.729577180215447818e+00,-3.582855893874559239e-14,8.775402907094440950e-13,-6.252167063571650862e-05,3.798489243671925086e-19
3.786517289837057820e+00,-3.030766896765982902e-14,8.745738806923845409e-13,-5.932569066546822256e-05,3.183561078401689409e-19
3.843457399458667823e+00,-3.592406069979043210e-14,9.315037994540551327e-13,-5.403860256662090800e-05,3.672646446202636824e-19
3.900397509080277381e+00,-3.478607940381518529e-14,9.664483771738789737e-13,-4.948574125600291307e-05,3.473440088801384221e-19
