i,j,r_over_h,z_over_h,payload_surface_distance_over_h,rho,cell_energy,S,S_over_rho,kernel_cell_integral,signed_force,gross_outward_force,lambda_min_over_rho,lambda_mid_over_rho,lambda_max_over_rho,dec_ratio,in_teacher_F50,in_teacher_F90
0,66,0.03493418511502632,1.2925648492559736,0.25134429338288633,7.489135495695716e-09,8.024600110065392e-12,1.1161422100189891e-10,0.01490348533099017,0.012164437722273602,1.3577242402976818e-12,1.3577242402976818e-12,-0.9851130914908386,-0.8905857424452479,0.8906023192670769,0.9851130914908386,0,0
0,67,0.03493418511502632,1.3624332194860265,0.32081408304156805,6.0705743448170974e-09,6.504613460869617e-12,-3.0857258913216294e-09,-0.5083087227086089,0.008006327119883316,-2.470533088821448e-11,0.0,-0.9753601033401835,-0.943853428463566,0.4109048090951406,0.9753601033401835,0,0
0,68,0.03493418511502632,1.432301589716079,0.39041194348819325,2.20341442737464e-09,2.360956036460044e-12,-4.16837133458291e-10,-0.18917781797178793,0.0056588625921442075,-2.3588240615437454e-12,0.0,-0.9325049996496096,-0.8867899398603409,0.6301171215381628,0.9325049996496096,0,0
0,69,0.03493418511502632,1.5021699599461313,0.4600847562922297,1.0938581347538005e-09,1.1720677391383921e-12,-9.318781548800756e-11,-0.0851918658620039,0.004208014677461977,-3.9213569533415434e-13,0.0,-0.808213278007032,-0.8058072079732962,0.5288286201183244,0.808213278007032,0,0
0,70,0.03493418511502632,1.5720383301761842,0.5298051860140224,7.62997852192144e-10,8.175513251428966e-13,9.534732991384881e-11,0.12496408691048021,0.003250097008192761,3.098880716921682e-13,3.098880716921682e-13,-0.693555664423512,-0.6912205572273532,0.5097403085613454,0.693555664423512,0,0
0,71,0.03493418511502632,1.641906700406237,0.599557740091341,6.245951195636399e-10,6.692529555750836e-13,1.5646393564218797e-10,0.2505045760708124,0.0025850660672954943,4.0446961078412617e-13,4.0446961078412617e-13,-0.6075980217291804,-0.5932896671879362,0.451392264987929,0.6075980217291804,0,0
0,72,0.03493418511502632,1.7117750706362895,0.6693329855707156,5.542375384077396e-10,5.938648879119927e-13,2.0352106215731398e-10,0.367209090062731,0.0021048027489508404,4.2837169109810933e-13,4.2837169109810933e-13,-0.5314514674661305,-0.5153595795061768,0.4140201370350383,0.5314514674661305,0,0
0,73,0.03493418511502632,1.781643440866342,0.7391248517312018,5.158471144407444e-10,5.527295925807679e-13,2.0448735719957177e-10,0.39641078039423894,0.0017467777741065203,3.571939706419929e-13,3.571939706419929e-13,-0.4929352671035744,-0.4728958758399671,0.3622419233377803,0.4929352671035744,0,0
0,74,0.03493418511502632,1.8515118110963948,0.8089292552098453,4.821712697799479e-10,5.166459635788845e-13,2.2561433266521364e-10,0.46791326403205014,0.0014728116211310404,3.322874110430511e-13,3.322874110430511e-13,-0.43649563066056724,-0.4155885738006937,0.31999746849331095,0.43649563066056724,0,0
0,75,0.03493418511502632,1.9213801813264477,0.8787433485491594,4.631219852643052e-10,4.96234677028014e-13,2.1701146795135917e-10,0.4685838177764548,0.0012585325656092093,2.7311599952744477e-13,2.7311599952744477e-13,-0.4140730414450685,-0.3913735134112053,0.27403037263272867,0.4140730414450685,0,0
0,76,0.03493418511502632,1.9912485515565002,0.9485650856374509,4.4437460768020113e-10,4.761468834086702e-13,2.3016651061880418e-10,0.5179560367329673,0.0010877951002851555,2.503740025008664e-13,2.503740025008664e-13,-0.37086418297068047,-0.3485061731547268,0.2373263928583746,0.37086418297068047,0,0
0,77,0.03493418511502632,2.0611169217865526,1.0183929584115248,4.3576183019999484e-10,4.669183021985488e-13,2.1506662193709358e-10,0.49354167123446263,0.0009495619336533236,2.042190773908749e-13,2.042190773908749e-13,-0.3643373458838735,-0.34197428296380633,0.19985330008214253,0.3643373458838735,0,0
0,78,0.03493418511502632,2.1309852920166055,1.088225830948301,4.2498771199231427e-10,4.553738468732502e-13,2.2266698381243833e-10,0.5239374634353314,0.000836081663760688,1.8616778229047763e-13,1.8616778229047763e-13,-0.3335259454569977,-0.3124445329366728,0.1699079418290019,0.3335259454569977,0,0
0,79,0.03493418511502632,2.2008536622466583,1.1580628313679775,4.2163169859994775e-10,4.517778823652925e-13,2.0514717948957265e-10,0.48655539934681297,0.0007417817582585514,1.5217443550355782e-13,1.5217443550355782e-13,-0.3370215377190271,-0.3170717386255224,0.14064867569136255,0.3370215377190271,0,0
0,80,0.03493418511502632,2.270722032476711,1.2279032793407925,4.15039184505605e-10,4.4471401106032347e-13,2.096212681804986e-10,0.5050638012172263,0.0006625732171309606,1.3888943803742481e-13,1.3888943803742481e-13,-0.3149875235498301,-0.29692950842771193,0.11698083319476833,0.3149875235498301,0,0
0,81,0.03493418511502632,2.340590402706763,1.2977466362304189,4.1411974242509746e-10,4.437288299236382e-13,1.9313344047693715e-10,0.46637100502850215,0.0005954008851334901,1.149918214088446e-13,1.149918214088446e-13,-0.3224353365889611,-0.30607894519927803,0.09488528681674127,0.3224353365889611,0,0
0,82,0.03493418511502632,2.4104587729368157,1.3675924700365751,4.0984230875164973e-10,4.3914556463935096e-13,1.957986706039072e-10,0.4777414786684564,0.0005379450541970289,1.0532892646972506e-13,1.0532892646972506e-13,-0.30646527025965037,-0.29222142370612225,0.07642817263422905,0.30646527025965037,0,0
0,83,0.03493418511502632,2.4803271431668685,1.43744043025405,4.0989943323257096e-10,4.392067734552675e-13,1.8210068925551146e-10,0.4442569920612459,0.000488418883101508,8.894141525819168e-14,8.894141525819168e-14,-0.31413402056421197,-0.30169778852065937,0.06008880114611717,0.31413402056421197,0,0
