mode,beta,f,reset_duty,A,C
HEADON_KINETIC_LIMITED,0.40736401673640166,0.08673412531268598,0.031341497490382494,-0.19117324606457048,inf
UNRESTRICTED_CONVERSION,0.4113347280334728,0.9429149525240064,0.3388314244782667,0.13776530739991652,8.814020383384534
HEADON_KINETIC_LIMITED,0.4113347280334728,0.08851563836035625,0.031852922121089665,-0.19116289950634544,inf
UNRESTRICTED_CONVERSION,0.4153054393305439,0.9429149525240064,0.3396655346166706,0.1373928725890954,8.867155817682624
HEADON_KINETIC_LIMITED,0.4153054393305439,0.0903179720020496,0.0326200341605859,-0.19118287634435988,inf
UNRESTRICTED_CONVERSION,0.4192761506276151,0.9429149525240064,0.34038032603975205,0.13703683704708794,8.919794239747782
HEADON_KINETIC_LIMITED,0.4192761506276151,0.09214125024049613,0.03338711568076601,-0.19119846969004145,inf
UNRESTRICTED_CONVERSION,0.4232468619246862,0.9429149525240064,0.34121406307398605,0.13666018128732124,8.974343197201074
HEADON_KINETIC_LIMITED,0.4232468619246862,0.09398559952343721,0.03415416597177702,-0.19120956518861898,inf
UNRESTRICTED_CONVERSION,0.42721757322175735,0.9429149525240064,0.34204760624537167,0.13628142878097185,9.029615818594507
HEADON_KINETIC_LIMITED,0.42721757322175735,0.09585114879765932,0.03492118432434067,-0.19121604656265787,inf
UNRESTRICTED_CONVERSION,0.43118828451882846,0.9429149525240064,0.3427619130156114,0.1359190530433235,9.084385835471245
HEADON_KINETIC_LIMITED,0.43118828451882846,0.09773802956474453,0.03568817002976652,-0.1912177955755746,inf
UNRESTRICTED_CONVERSION,0.43515899581589956,0.9429149525240064,0.3435950861761935,0.13553610317661993,9.141120813086665
HEADON_KINETIC_LIMITED,0.43515899581589956,0.09964637593859937,0.03645512237996507,-0.19121469199403002,inf
