valid,kind,p1,p2,ncycle,beta,pot_a,pot_b,chi,tail_n,model,phase_delta,nphase,length,core_radius,tube_curvature,finite_core_clear,K_low_window,K_high_window,K_ratio,E_mobile,S_mobile,E_localization_proxy,E_guide_floor,E_curvature_proxy,E_support,E_compensation,q_compensation,E_total,S_total,laue_residual,A_out,C,negative_active_participation,cancellation
True,ELLIPSE,3.13220099643528,0.09597956627607346,1,0.1756679329276085,0.4399677973520011,0.0501836396729298,0.7094369861306364,,POINT_VIRIAL,0.0,384,12.715726911067549,0.0,0.0,True,0.028460171485891275,0.7930834949471426,27.866434161870824,1.0258651574709932,0.4886334502961522,0.0,0.0,0.0,0.0,0.17907723572494696,4.0,1.2049423931959402,1.20494239319594,-2.220446049250313e-16,0.323592795211726,3.7236378900449534,0.42331048796929766,1.336017549469685
True,ELLIPSE,2.391620921632487,0.10072824131697417,1,0.29330934382975105,0.9917886455962435,1.0565071953862266,0.13628661419690297,,POINT_VIRIAL,0.0,384,9.7213757566046,0.0,0.0,True,0.0580308022244681,0.8621398659257132,14.856590515341878,1.0167098145914775,-1.434015086112316,0.0,0.0,0.0,0.0,0.8169083002345978,4.0,1.8336181148260753,1.8336181148260753,0.0,0.49207428879052995,3.726303439533343,0.49232651121142706,1.0456975945770302
True,ELLIPSE,2.9145957351978744,0.12716543782502412,1,0.11389286048710345,0.7703859870461747,0.1542352065658195,0.5064479907762675,,POINT_VIRIAL,0.0,384,11.937691659044065,0.0,0.0,True,0.03456821704113551,0.7568168439349336,21.893430113399724,1.008115863810065,-0.13112134643080314,0.0,0.0,0.0,0.0,0.37974573674695605,4.0,1.387861600557021,1.387861600557021,0.0,0.3707468453531649,3.743421199538397,0.45686148942650834,1.1905479592892907
True,ELLIPSE,2.6496171644577595,0.046188981048762796,1,0.6656571024283766,0.9676621188828721,1.317711121708534,0.1433875857882114,,POINT_VIRIAL,0.0,384,10.643283833776024,0.0,0.0,True,0.04452177162042989,0.9020728963232836,20.26138815889675,1.1490541323303431,-1.1398845889292595,0.0,0.0,0.0,0.0,0.7629795737532009,4.0,1.9120337060835442,1.9120337060835442,0.0,0.5099540193179337,3.7494237394989054,0.4658170586711383,1.0739804446810193
True,ELLIPSE,2.939098861457455,0.05920171389356256,1,0.2776076206564903,0.9884588225092739,1.1226674255818845,0.13437550286770764,,POINT_VIRIAL,0.0,384,11.83297823370839,0.0,0.0,True,0.033805110500370154,0.8685283796797156,25.692221289151103,1.0146239732744835,-1.4453466665446597,0.0,0.0,0.0,0.0,0.8199902132730478,4.0,1.8346141865475314,1.8346141865475314,0.0,0.4884184970985469,3.7562340440545725,0.491639572974661,1.0299501769565345
True,ELLIPSE,2.494195765439129,0.1436980285309255,1,0.13400378415361047,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,384,10.269723609601877,0.0,0.0,True,0.052096371990290345,0.782289508704324,15.016199378531121,1.0069727276635105,-0.842069543012401,0.0,0.0,0.0,0.0,0.6163474235586371,4.0,1.6233201512221478,1.6233201512221476,-2.220446049250313e-16,0.430289632000573,3.7726220445394927,0.4833322176954495,1.1117087800103103
True,ELLIPSE,2.026770578507747,0.1139056257531047,1,0.3319736802764237,0.9884588225092739,1.1226674255818845,0.13437550286770764,,POINT_VIRIAL,0.0,384,8.268584670472148,0.0,0.0,True,0.08751300702832279,0.8829138315163919,10.088944049547342,1.0216919343384117,-1.4312023660326498,0.0,0.0,0.0,0.0,0.8176314334570205,4.0,1.8393233677954322,1.8393233677954322,0.0,0.48479689978783325,3.7940081064882936,0.4898484360289864,1.0616774145958932
True,ELLIPSE,2.3166662176553987,0.06595235537737608,1,0.7091837906651198,0.9943639179505408,0.9764195133049375,0.14033136418997527,,POINT_VIRIAL,0.0,384,9.339420796712218,0.0,0.0,True,0.06291919328665162,0.9076628145534116,14.42584952445621,1.184734317430765,-1.082811353886255,0.0,0.0,0.0,0.0,0.7558485571056733,4.0,1.9405828745364384,1.9405828745364384,0.0,0.5113156657903403,3.7952736526014332,0.45855463840645677,1.1068772824974222
True,ELLIPSE,2.9929008284546734,0.040954410433769226,1,0.5486741555854678,0.9917886455962435,1.0565071953862266,0.13628661419690297,,POINT_VIRIAL,0.0,384,12.0126036451344,0.0,0.0,True,0.03219501229393184,0.883974927690281,27.45689051520859,1.076458299694816,-1.3145251260193755,0.0,0.0,0.0,0.0,0.7969944752380638,4.0,1.8734527749328798,1.8734527749328795,-2.220446049250313e-16,0.49328706999186606,3.797895564065305,0.479765496052534,1.0415718685615407
True,ELLIPSE,3.5478185212885807,0.07472251668572426,1,0.4147240236774087,0.0,0.0,1.0,,POINT_VIRIAL,0.0,384,14.329397044609777,0.0,0.0,True,0.02020485810015637,0.7930219750257985,39.24907421248661,1.2077190711258794,1.4153719081864407,0.0,0.0,0.0,0.0,0.06921761235352042,-2.0,1.2769366834793998,1.2769366834793998,0.0,0.3352541926841743,3.8088611905365077,0.29716360565321664,1.7950097700090186
True,ELLIPSE,2.952879115330501,0.07272803276777268,1,0.2318135851807892,0.9873693144647404,1.0982561565263311,0.14541544647935342,,POINT_VIRIAL,0.0,384,11.9212589799421,0.0,0.0,True,0.03338208403036964,0.8494412925792286,25.44602343599765,1.0107705190670515,-1.4094858633356917,0.0,0.0,0.0,0.0,0.8067521274675812,4.0,1.8175226465346328,1.817522646534633,2.220446049250313e-16,0.47666609556224404,3.8129891415725767,0.49084581332964355,1.031916680890915
True,ELLIPSE,2.815055153021658,0.08174318788573146,1,0.39091899918392303,0.9943639179505408,0.9764195133049375,0.14033136418997527,,POINT_VIRIAL,0.0,384,11.388036036131098,0.0,0.0,True,0.037935179566641455,0.8484751883530728,22.36644713550229,1.0329333305566415,-1.3864112654128378,0.0,0.0,0.0,0.0,0.8064481986564931,4.0,1.8393815292131346,1.8393815292131346,0.0,0.47973787500987025,3.834138651602796,0.4861671512069088,1.0387986715152886
True,ELLIPSE,2.2454089707749683,0.05935086231678724,1,0.6770385592244565,0.9744156919186935,0.2596653946172021,0.3067374474308752,,POINT_VIRIAL,0.0,384,9.040399147691772,0.0,0.0,True,0.06805810497579426,0.9180846220256392,13.489717680975218,1.3227227632216048,-0.21057621987733302,0.0,0.0,0.0,0.0,0.5110996610329793,4.0,1.833822424254584,1.8338224242545842,2.220446049250313e-16,0.4778481500171906,3.837667728102771,0.42132077259815054,1.2909257062191064
True,ELLIPSE,1.6387929025708337,0.05281358469277621,1,0.07668489331379533,0.9917886455962435,1.0565071953862266,0.13628661419690297,,POINT_VIRIAL,0.0,384,6.590192021171239,0.0,0.0,True,0.1426513506254646,0.957084932448023,6.70925952156512,1.001050092089621,-1.465341013654942,0.0,0.0,0.0,0.0,0.822130368581521,4.0,1.823180460671142,1.823180460671142,0.0,0.47358172361555406,3.849769469041356,0.4937642162542149,1.073270429305992
True,ELLIPSE,2.024688725963548,0.1287242346070707,1,0.1710664466023445,0.9676621188828721,1.317711121708534,0.1433875857882114,,POINT_VIRIAL,0.0,384,8.296770457031922,0.0,0.0,True,0.08772657122889595,0.8655780370760093,9.866771548810968,1.005647518850132,-1.426686564771946,0.0,0.0,0.0,0.0,0.8107780278740261,4.0,1.8164255467241581,1.8164255467241583,2.220446049250313e-16,0.47163948534018013,3.851300841391645,0.4928603871926331,1.0602808048355332
