A_refined,C_after_10pct_impulse_loss,C_after_25pct_impulse_loss,C_after_50pct_impulse_loss,C_refined,a,aspect,b,baseline_active,beta,bottom_duty,bottom_kernel,chi_plus,coarse_C,conversion_gain_refined,curvature_concentration,duty_class,f,family,guide_factor,halfwidth,interaction_arc_length_over_h,inventory_energy,k_avg,loss,max_additional_impulse_loss_to_still_beat_006D,negative_packet_interaction,overhead,overhead_active_ratio,overhead_attraction_refined,packet_active_interaction,psi,q,reset_duty_required,top_duty,top_kernel,virial_feasible_refined
-inf,inf,inf,inf,inf,1.209046096835879,1.793196976663526,2.1680578054929347,2.0,1.0,nan,nan,3.0,12.62616545022911,-inf,2.5551251627916027,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1464025380214282,3.6092494472289745,2.0,0.18856849277347912,0.34019824489951134,0.0,True,0.0,0.0,inf,-2.0,0.8062995093900239,2.0,0.6668681651814989,0.33343408259074947,0.437255860851611,False
0.13016506444102838,17.072339892160585,20.486807870592703,30.730211805889056,15.365105902944528,1.418334328860325,1.8985062108959108,2.6927165324682103,2.0,1.0,0.6620779246509876,0.046335967721075025,3.0,12.629417615181248,0.4473090867143714,2.8179211606638765,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1466570863590628,4.378650993711635,2.0,0.15857201113667152,0.05580500839278102,0.34870399522758455,True,0.0,0.0,0.0,-2.0,1.2907432489496213,2.0,0.6620564595635683,0.33102822978178414,0.38415540099149215,True
0.12969340700893023,17.134427057415554,20.561312468898667,30.841968703347998,15.420984351673999,1.5010066033951777,1.6111638019048033,2.41836750581039,2.0,1.0,0.6599385041585815,0.051640856048128306,3.0,12.632626847671506,0.4684773342882879,2.1324154972344793,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1229095276356176,4.1186695948881855,2.0,0.16939196363967884,0.18842784641310573,0.3463354199219363,True,0.0,0.0,0.0,-2.0,2.396781743511502,2.0,0.6599216007681167,0.32996080038405834,0.40659141347351674,True
0.1275306879753807,17.42499987650983,20.909999851811794,31.364999777717692,15.682499888858846,1.2981379259538581,1.9599026546006022,2.5442239671146867,2.0,1.0,0.6615501940233313,0.05109307039753925,3.0,12.636339068948807,0.4614319489108004,2.977339922949413,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1495805485051989,4.098331038284056,2.0,0.16695063046770986,0.020633076317608356,0.33525030110594667,True,0.0,0.0,0.0,-2.0,2.420416579730632,2.0,0.6615191249033489,0.3307595624516744,0.399862370009011,True
0.12175743253847132,18.251224388458365,21.90146926615004,32.85220389922506,16.42610194961253,1.0783899088908235,2.2836870622202103,2.462705082962805,2.0,1.0,0.6553071829324518,0.05521955099480499,3.0,12.640702621783479,0.46925753270950427,3.894133590658985,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1571291010347085,3.7856859891652275,2.0,0.17375005008551647,0.11650402843952179,0.3037305019995442,True,0.0,0.0,0.0,-2.0,2.933519923134909,2.0,0.655306755521432,0.327653377760716,0.4132637615561642,True
0.12248526532110243,18.142771837874,21.7713262054488,32.6569893081732,16.3284946540866,1.2077205339746693,1.8883535355451213,2.2806033402815085,2.0,1.0,0.6602345023669476,0.05967324193162066,3.0,12.640856409299277,0.4865116080404778,2.7920002770275394,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1437196739367106,3.7035417568005644,2.0,0.1820131713596877,0.09830526728183031,0.3078678793800994,True,0.0,0.0,0.0,-2.0,3.1228357445940067,2.0,0.6601897408653885,0.33009487043269425,0.4281407597171638,True
0.13210912978875294,16.821110136563856,20.185332163876627,30.277998245814942,15.138999122907471,1.646913627521026,1.5512658670707447,2.55480089638703,2.0,1.0,0.6628005527737082,0.04685626538885563,3.0,12.643246500018753,0.4529626735552382,2.002011410016491,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1214359767350042,4.425377147836365,2.0,0.16042677188324264,0.3763253502547741,0.3582882078858174,True,0.0,0.0,0.0,-2.0,2.6345959910675716,2.0,0.6627493056351106,0.3313746528175553,0.38858991354425737,True
0.1318481596450351,16.854404552971722,20.225285463566067,30.3379281953491,15.16896409767455,1.5544699878263144,1.8022140078956568,2.801487586913975,2.0,1.0,0.6632486276378416,0.04284946632915195,3.0,12.644563505818367,0.43621564348849723,2.5771016071617927,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1422267502961958,4.631518643419221,2.0,0.15218374192173106,0.3265805533155799,0.35701805273868203,True,0.0,0.0,0.0,-2.0,0.8721276849977662,2.0,0.6632328390089572,0.3316164195044786,0.37170606909399895,True
-inf,inf,inf,inf,inf,1.289572896952014,2.2108504939880493,2.85105287625996,2.0,1.0,nan,nan,3.0,12.646389460327212,-inf,3.676710667675259,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1693203994988834,4.496751117558725,2.0,0.15355964857470958,0.3851681393571198,0.0,True,0.0,0.0,inf,-2.0,1.8651700213875313,2.0,0.6674258163951894,0.3337129081975947,0.3711536325927463,False
-inf,inf,inf,inf,inf,1.2442579490135544,2.2537483876612385,2.8042443464239777,2.0,1.0,nan,nan,3.0,12.65098053282452,-inf,3.803976011281559,BROAD_INTERACTION,1.0,IDEAL_DEC_SPINNING_CEILING,1.0,1.1777034051381392,4.437628580125077,2.0,0.15594254176844707,0.3448479347862303,0.0,True,0.0,0.0,inf,-2.0,2.545460646070291,2.0,0.6726022453634248,0.3363011226817124,0.3734268051951914,False
